,cluster,common_words
0,0,"ready, ready drink, wine, drink, fruity, acidity, fruit, red, soft, attractive"
0,1,"tropical, blanc, tropical fruit, sauvignon blanc, sauvignon, fruit, flavor, citrus, wine, acidity"
0,2,"berry, finish, flavor, aroma, plum, herbal, feel, blackberry, palate, oak"
0,3,"palate, tannin, alongside, cherry, aroma, black, palate offer, offer, berry, black cherry"
0,4,"wine, fruit, tannin, ripe, drink, wood, acidity, rich, aging, character"
0,5,"wine, fruit, flavor, cherry, tannin, spice, red, blackberry, aroma, oak"
0,6,"lemon, palate, citrus, fresh, finish, nose, flavor, note, lime, grapefruit"
0,7,"cabernet, cabernet sauvignon, sauvignon, merlot, blend, franc, cabernet franc, verdot, merlot cabernet, petit verdot"
0,8,"stone, stone fruit, fruit, aroma, citrus, white, palate, finish, note, flavor"
0,9,"bodied, full bodied, full, medium bodied, medium, wine, bodied wine, flavor, finish, fruit"
0,10,"white, peach, flower, white peach, palate, aroma, apple, citrus, offer, white flower"
0,11,"pinot, noir, pinot noir, cherry, raspberry, raspberry cherry, flavor, cola, silky, wine"
0,12,"pineapple, chardonnay, orange, flavor, apricot, sweet, honey, acidity, vanilla, wine"
0,13,"black, black cherry, cherry, pepper, fruit, flavor, black pepper, palate, wine, tannin"
0,14,"apple, pear, green, flavor, green apple, finish, lemon, palate, wine, apple pear"
