,cluster,common_words
0,0,"peach, white, aroma, fruit, citrus, flavor, stone, palate, finish, stone fruit"
0,1,"black, cherry, fruit, palate, aroma, black cherry, wine, spice, tannin, flavor"
0,2,"wine, fruit, acidity, tannin, ripe, drink, rich, character, structure, firm"
0,3,"alongside, palate offer, palate, offer, tannin, aroma, cherry, black, berry, whiff"
0,4,"wood, wine, aging, wood aging, fruit, drink, rich, ripe, tannin, acidity"
0,5,"berry, flavor, finish, aroma, plum, herbal, red, feel, fruit, palate"
0,6,"cabernet, cabernet sauvignon, sauvignon, merlot, blend, franc, cabernet franc, fruit, flavor, verdot"
0,7,"apple, flavor, lemon, lime, citrus, finish, pear, palate, wine, acidity"
0,8,"blackberry, flavor, currant, wine, tannin, cherry, dry, chocolate, oak, rich"
0,9,"ready drink, ready, wine, drink, fruity, acidity, fruity wine, fruit, crisp, soft"
0,10,"french, french oak, oak, new, aged, month, barrel, fruit, wine, flavor"
0,11,"still, young, still young, wine, fruit, drink, acidity, need, tannin, ripe"
0,12,"pinot, noir, pinot noir, cherry, raspberry, flavor, raspberry cherry, cola, silky, wine"
0,13,"bodied, full bodied, full, medium bodied, medium, wine, bodied wine, flavor, finish, fruit"
