,cluster,common_words
0,0,"wood, aging, wood aging, wine, fruit, drink, rich, tannin, ripe, acidity"
0,1,"palate, tannin, black, alongside, cherry, aroma, black cherry, palate offer, offer, berry"
0,2,"wine, acidity, crisp, character, fruity, fruit, fresh, drink, light, texture"
0,3,"berry, plum, finish, aroma, flavor, herbal, feel, palate, note, oak"
0,4,"wine, tannin, fruit, firm, structure, dense, drink, black, structured, ripe"
0,5,"blackberry, currant, flavor, dry, tannin, oak, cherry, wine, black currant, black"
0,6,"year, wine, next, age, fruit, next year, flavor, tannin, cherry, drink"
0,7,"grained, grained tannin, fine grained, fine grained tannin, fine, tannin, cherry, palate, aroma, black"
0,8,"peach, white, flavor, white peach, finish, wine, palate, aroma, acidity, apple"
0,9,"cabernet, cabernet sauvignon, sauvignon, merlot, blend, franc, cabernet franc, verdot, petit verdot, petit"
0,10,"apple, lemon, pear, palate, citrus, lime, finish, flavor, fresh, nose"
0,11,"black, dark, fruit, black fruit, flavor, aroma, black cherry, finish, cherry, blackberry"
0,12,"cherry, wine, fruit, flavor, red, spice, aroma, finish, palate, note"
0,13,"chardonnay, pineapple, apricot, orange, flavor, buttered, honey, vanilla, sweet, acidity"
0,14,"ready drink, ready, drink, wine, acidity, fruit, fruity, ripe, soft, attractive"
0,15,"pink, grapefruit, color, wine, ro, flavor, light, palate, strawberry, acidity"
0,16,"like, sweet, taste, flavor, wine, smell, soft, finish, cherry, fruit"
0,17,"full, wine, ripe, full bodied, bodied, rich, fruit, acidity, texture, drink"
0,18,"blanc, sauvignon blanc, sauvignon, flavor, citrus, crisp, wine, lime, grapefruit, blend"
0,19,"pinot, pinot noir, noir, cherry, raspberry, flavor, silky, cola, raspberry cherry, dry"
0,20,"melon, flavor, finish, apple, aroma, peach, citrus, palate, white, fruit"
0,21,"little, flavor, wine, cherry, fruit, sweet, finish, dry, palate, soft"
0,22,"white, flower, palate, yellow, apple, aroma, offer, almond, citrus, palate offer"
