,cluster,common_words
0,0,"berry, finish, aroma, flavor, plum, feel, herbal, palate, note, fruit"
0,1,"black, cherry, black cherry, palate, tannin, aroma, alongside, offer, pepper, palate offer"
0,2,"red, red fruit, fruit, cherry, wine, red cherry, flavor, red berry, berry, acidity"
0,3,"apricot, peach, sweet, pineapple, flavor, honey, chardonnay, orange, wine, acidity"
0,4,"apple, lemon, pear, flavor, citrus, lime, palate, finish, fresh, wine"
0,5,"wine, flavor, cherry, fruit, blackberry, tannin, oak, black, spice, chocolate"
0,6,"pinot, noir, pinot noir, cherry, raspberry, flavor, cola, silky, raspberry cherry, dry"
0,7,"wine, fruit, drink, acidity, ripe, tannin, character, wood, rich, aging"
0,8,"bodied, full bodied, full, medium bodied, medium, wine, bodied wine, flavor, fruit, finish"
0,9,"white, peach, citrus, aroma, palate, flower, apple, fruit, white peach, stone"
0,10,"cabernet, cabernet sauvignon, sauvignon, merlot, blend, franc, cabernet franc, merlot cabernet, verdot, petit verdot"
