,country,clusters,total
0,Argentina,0,0.0
1,Argentina,1,0.0
2,Argentina,2,0.02
3,Argentina,3,0.02
4,Argentina,4,0.0
5,Argentina,5,0.01
6,Argentina,6,0.22
7,Argentina,7,0.01
8,Argentina,8,0.04
9,Argentina,9,0.02
10,Argentina,10,0.01
11,Argentina,11,0.02
12,Argentina,12,0.02
13,Armenia,0,0.0
14,Armenia,1,0.0
15,Armenia,2,0.0
16,Armenia,3,0.0
17,Armenia,4,0.0
18,Armenia,5,0.0
19,Armenia,6,0.0
20,Armenia,7,0.0
21,Armenia,8,0.0
22,Armenia,9,0.0
23,Armenia,10,0.0
24,Armenia,11,0.0
25,Armenia,12,0.0
26,Australia,0,0.0
27,Australia,1,0.0
28,Australia,2,0.01
29,Australia,3,0.02
30,Australia,4,0.0
31,Australia,5,0.09
32,Australia,6,0.01
33,Australia,7,0.02
34,Australia,8,0.01
35,Australia,9,0.01
36,Australia,10,0.06
37,Australia,11,0.02
38,Australia,12,0.02
39,Austria,0,0.03
40,Austria,1,0.01
41,Austria,2,0.02
42,Austria,3,0.02
43,Austria,4,0.04
44,Austria,5,0.01
45,Austria,6,0.0
46,Austria,7,0.01
47,Austria,8,0.02
48,Austria,9,0.0
49,Austria,10,0.01
50,Austria,11,0.12
51,Austria,12,0.01
52,Bosnia and Herzegovina,0,0.0
53,Bosnia and Herzegovina,1,0.0
54,Bosnia and Herzegovina,2,0.0
55,Bosnia and Herzegovina,3,0.0
56,Bosnia and Herzegovina,4,0.0
57,Bosnia and Herzegovina,5,0.0
58,Bosnia and Herzegovina,6,0.0
59,Bosnia and Herzegovina,7,0.0
60,Bosnia and Herzegovina,8,0.0
61,Bosnia and Herzegovina,9,0.0
62,Bosnia and Herzegovina,10,0.0
63,Bosnia and Herzegovina,11,0.0
64,Bosnia and Herzegovina,12,0.0
65,Brazil,0,0.0
66,Brazil,1,0.0
67,Brazil,2,0.0
68,Brazil,3,0.0
69,Brazil,4,0.0
70,Brazil,5,0.0
71,Brazil,6,0.0
72,Brazil,7,0.0
73,Brazil,8,0.0
74,Brazil,9,0.0
75,Brazil,10,0.0
76,Brazil,11,0.0
77,Brazil,12,0.0
78,Bulgaria,0,0.0
79,Bulgaria,1,0.0
80,Bulgaria,2,0.0
81,Bulgaria,3,0.0
82,Bulgaria,4,0.0
83,Bulgaria,5,0.0
84,Bulgaria,6,0.0
85,Bulgaria,7,0.0
86,Bulgaria,8,0.0
87,Bulgaria,9,0.0
88,Bulgaria,10,0.0
89,Bulgaria,11,0.0
90,Bulgaria,12,0.0
91,Canada,0,0.0
92,Canada,1,0.0
93,Canada,2,0.0
94,Canada,3,0.0
95,Canada,4,0.0
96,Canada,5,0.0
97,Canada,6,0.0
98,Canada,7,0.0
99,Canada,8,0.0
100,Canada,9,0.0
101,Canada,10,0.0
102,Canada,11,0.0
103,Canada,12,0.0
104,Chile,0,0.0
105,Chile,1,0.0
106,Chile,2,0.04
107,Chile,3,0.02
108,Chile,4,0.0
109,Chile,5,0.01
110,Chile,6,0.23
111,Chile,7,0.01
112,Chile,8,0.05
113,Chile,9,0.03
114,Chile,10,0.01
115,Chile,11,0.04
116,Chile,12,0.02
117,China,0,0.0
118,China,1,0.0
119,China,2,0.0
120,China,3,0.0
121,China,4,0.0
122,China,5,0.0
123,China,6,0.0
124,China,7,0.0
125,China,8,0.0
126,China,9,0.0
127,China,10,0.0
128,China,11,0.0
129,China,12,0.0
130,Croatia,0,0.0
131,Croatia,1,0.0
132,Croatia,2,0.0
133,Croatia,3,0.0
134,Croatia,4,0.0
135,Croatia,5,0.0
136,Croatia,6,0.0
137,Croatia,7,0.0
138,Croatia,8,0.0
139,Croatia,9,0.0
140,Croatia,10,0.0
141,Croatia,11,0.0
142,Croatia,12,0.0
143,Cyprus,0,0.0
144,Cyprus,1,0.0
145,Cyprus,2,0.0
146,Cyprus,3,0.0
147,Cyprus,4,0.0
148,Cyprus,5,0.0
149,Cyprus,6,0.0
150,Cyprus,7,0.0
151,Cyprus,8,0.0
152,Cyprus,9,0.0
153,Cyprus,10,0.0
154,Cyprus,11,0.0
155,Cyprus,12,0.0
156,Czech Republic,0,0.0
157,Czech Republic,1,0.0
158,Czech Republic,2,0.0
159,Czech Republic,3,0.0
160,Czech Republic,4,0.0
161,Czech Republic,5,0.0
162,Czech Republic,6,0.0
163,Czech Republic,7,0.0
164,Czech Republic,8,0.0
165,Czech Republic,9,0.0
166,Czech Republic,10,0.0
167,Czech Republic,11,0.0
168,Czech Republic,12,0.0
169,Egypt,0,0.0
170,Egypt,1,0.0
171,Egypt,2,0.0
172,Egypt,3,0.0
173,Egypt,4,0.0
174,Egypt,5,0.0
175,Egypt,6,0.0
176,Egypt,7,0.0
177,Egypt,8,0.0
178,Egypt,9,0.0
179,Egypt,10,0.0
180,Egypt,11,0.0
181,Egypt,12,0.0
182,England,0,0.0
183,England,1,0.0
184,England,2,0.0
185,England,3,0.0
186,England,4,0.0
187,England,5,0.0
188,England,6,0.0
189,England,7,0.0
190,England,8,0.0
191,England,9,0.0
192,England,10,0.0
193,England,11,0.0
194,England,12,0.0
195,France,0,0.67
196,France,1,0.01
197,France,2,0.04
198,France,3,0.07
199,France,4,0.7
200,France,5,0.07
201,France,6,0.02
202,France,7,0.04
203,France,8,0.3
204,France,9,0.06
205,France,10,0.15
206,France,11,0.15
207,France,12,0.06
208,Georgia,0,0.0
209,Georgia,1,0.0
210,Georgia,2,0.0
211,Georgia,3,0.0
212,Georgia,4,0.0
213,Georgia,5,0.0
214,Georgia,6,0.0
215,Georgia,7,0.0
216,Georgia,8,0.0
217,Georgia,9,0.0
218,Georgia,10,0.0
219,Georgia,11,0.0
220,Georgia,12,0.0
221,Germany,0,0.0
222,Germany,1,0.0
223,Germany,2,0.09
224,Germany,3,0.05
225,Germany,4,0.0
226,Germany,5,0.02
227,Germany,6,0.0
228,Germany,7,0.01
229,Germany,8,0.0
230,Germany,9,0.0
231,Germany,10,0.01
232,Germany,11,0.04
233,Germany,12,0.0
234,Greece,0,0.0
235,Greece,1,0.0
236,Greece,2,0.01
237,Greece,3,0.0
238,Greece,4,0.0
239,Greece,5,0.0
240,Greece,6,0.0
241,Greece,7,0.0
242,Greece,8,0.01
243,Greece,9,0.0
244,Greece,10,0.0
245,Greece,11,0.01
246,Greece,12,0.0
247,Hungary,0,0.0
248,Hungary,1,0.0
249,Hungary,2,0.0
250,Hungary,3,0.0
251,Hungary,4,0.0
252,Hungary,5,0.0
253,Hungary,6,0.0
254,Hungary,7,0.0
255,Hungary,8,0.0
256,Hungary,9,0.0
257,Hungary,10,0.0
258,Hungary,11,0.0
259,Hungary,12,0.0
260,India,0,0.0
261,India,1,0.0
262,India,2,0.0
263,India,3,0.0
264,India,4,0.0
265,India,5,0.0
266,India,6,0.0
267,India,7,0.0
268,India,8,0.0
269,India,9,0.0
270,India,10,0.0
271,India,11,0.0
272,India,12,0.0
273,Israel,0,0.0
274,Israel,1,0.01
275,Israel,2,0.0
276,Israel,3,0.0
277,Israel,4,0.0
278,Israel,5,0.0
279,Israel,6,0.0
280,Israel,7,0.0
281,Israel,8,0.0
282,Israel,9,0.01
283,Israel,10,0.0
284,Israel,11,0.0
285,Israel,12,0.0
286,Italy,0,0.02
287,Italy,1,0.72
288,Italy,2,0.34
289,Italy,3,0.08
290,Italy,4,0.01
291,Italy,5,0.05
292,Italy,6,0.04
293,Italy,7,0.14
294,Italy,8,0.05
295,Italy,9,0.16
296,Italy,10,0.02
297,Italy,11,0.04
298,Italy,12,0.11
299,Lebanon,0,0.0
300,Lebanon,1,0.0
301,Lebanon,2,0.0
302,Lebanon,3,0.0
303,Lebanon,4,0.0
304,Lebanon,5,0.0
305,Lebanon,6,0.0
306,Lebanon,7,0.0
307,Lebanon,8,0.0
308,Lebanon,9,0.0
309,Lebanon,10,0.0
