,country,clusters,total
0,Argentina,0,0.02
1,Argentina,1,0.01
2,Argentina,2,0.02
3,Argentina,3,0.02
4,Argentina,4,0.22
5,Argentina,5,0.0
6,Argentina,6,0.01
7,Armenia,0,0.0
8,Armenia,1,0.0
9,Armenia,2,0.0
10,Armenia,3,0.0
11,Armenia,4,0.0
12,Armenia,5,0.0
13,Armenia,6,0.0
14,Australia,0,0.01
15,Australia,1,0.02
16,Australia,2,0.04
17,Australia,3,0.02
18,Australia,4,0.01
19,Australia,5,0.0
20,Australia,6,0.01
21,Austria,0,0.06
22,Austria,1,0.02
23,Austria,2,0.01
24,Austria,3,0.04
25,Austria,4,0.0
26,Austria,5,0.04
27,Austria,6,0.01
28,Bosnia and Herzegovina,0,0.0
29,Bosnia and Herzegovina,1,0.0
30,Bosnia and Herzegovina,2,0.0
31,Bosnia and Herzegovina,3,0.0
32,Bosnia and Herzegovina,4,0.0
33,Bosnia and Herzegovina,5,0.0
34,Bosnia and Herzegovina,6,0.0
35,Brazil,0,0.0
36,Brazil,1,0.0
37,Brazil,2,0.0
38,Brazil,3,0.0
39,Brazil,4,0.0
40,Brazil,5,0.0
41,Brazil,6,0.0
42,Bulgaria,0,0.0
43,Bulgaria,1,0.0
44,Bulgaria,2,0.0
45,Bulgaria,3,0.0
46,Bulgaria,4,0.0
47,Bulgaria,5,0.0
48,Bulgaria,6,0.0
49,Canada,0,0.0
50,Canada,1,0.0
51,Canada,2,0.0
52,Canada,3,0.0
53,Canada,4,0.0
54,Canada,5,0.0
55,Canada,6,0.0
56,Chile,0,0.04
57,Chile,1,0.01
58,Chile,2,0.01
59,Chile,3,0.02
60,Chile,4,0.25
61,Chile,5,0.0
62,Chile,6,0.01
63,China,0,0.0
64,China,1,0.0
65,China,2,0.0
66,China,3,0.0
67,China,4,0.0
68,China,5,0.0
69,China,6,0.0
70,Croatia,0,0.0
71,Croatia,1,0.0
72,Croatia,2,0.0
73,Croatia,3,0.0
74,Croatia,4,0.0
75,Croatia,5,0.0
76,Croatia,6,0.0
77,Cyprus,0,0.0
78,Cyprus,1,0.0
79,Cyprus,2,0.0
80,Cyprus,3,0.0
81,Cyprus,4,0.0
82,Cyprus,5,0.0
83,Cyprus,6,0.0
84,Czech Republic,0,0.0
85,Czech Republic,1,0.0
86,Czech Republic,2,0.0
87,Czech Republic,3,0.0
88,Czech Republic,4,0.0
89,Czech Republic,5,0.0
90,Czech Republic,6,0.0
91,Egypt,0,0.0
92,Egypt,1,0.0
93,Egypt,2,0.0
94,Egypt,3,0.0
95,Egypt,4,0.0
96,Egypt,5,0.0
97,Egypt,6,0.0
98,England,0,0.0
99,England,1,0.0
100,England,2,0.0
