,clusters,total_reviews
0,13,14050
1,5,12791
2,17,7641
3,2,7308
4,12,7104
5,15,7086
6,14,6968
7,0,6573
8,8,6158
9,6,5533
10,4,5372
11,9,5096
12,10,4136
13,16,3681
14,7,3533
15,11,3425
16,1,3296
17,3,3286
18,19,2639
19,18,1674
