,cluster,common_words
0,0,"white, peach, flower, white peach, palate, aroma, apple, citrus, white flower, acidity"
0,1,"apple, palate, lemon, finish, citrus, lime, pear, flavor, nose, note"
0,2,"pineapple, flavor, chardonnay, peach, sweet, apricot, tropical, wine, fruit, acidity"
0,3,"bodied, full bodied, full, medium bodied, medium, wine, bodied wine, flavor, finish, fruit"
0,4,"wine, fruit, tannin, drink, ripe, wood, acidity, rich, aging, structure"
0,5,"berry, finish, aroma, flavor, plum, herbal, feel, palate, fruit, note"
0,6,"wine, crisp, acidity, drink, fruity, fresh, light, fruit, texture, character"
0,7,"cabernet, cabernet sauvignon, sauvignon, merlot, blend, franc, cabernet franc, merlot cabernet, verdot, petit verdot"
0,8,"cherry, wine, flavor, fruit, black, tannin, blackberry, spice, raspberry, oak"
0,9,"palate, black, cherry, tannin, aroma, alongside, black cherry, palate offer, offer, berry"
