,cluster,common_words
0,0,"black, black cherry, cherry, pepper, plum, fruit, palate, black pepper, nose, flavor"
0,1,"pear, apple, apple pear, flavor, wine, palate, fresh, finish, acidity, ripe"
0,2,"wood, aging, wine, fruit, wood aging, tannin, drink, rich, ripe, acidity"
0,3,"cranberry, cherry, tart, flavor, nose, palate, wine, light, fruit, aroma"
0,4,"medium bodied, medium, bodied, bodied wine, wine, flavor, finish, aroma, cherry, fruit"
0,5,"palate, tannin, cherry, alongside, black, aroma, black cherry, palate offer, offer, berry"
0,6,"cabernet, cabernet sauvignon, sauvignon, merlot, blend, franc, cabernet franc, verdot, petit verdot, petit"
0,7,"red, red fruit, fruit, wine, flavor, acidity, tannin, cherry, light, red cherry"
0,8,"white, peach, white peach, flower, citrus, palate, aroma, fruit, white flower, acidity"
0,9,"berry, finish, flavor, aroma, plum, herbal, feel, palate, note, oak"
0,10,"pinot noir, noir, pinot, cherry, flavor, raspberry, silky, cola, wine, dry"
0,11,"orange, flavor, lemon, pineapple, lime, acidity, sweet, chardonnay, peel, buttered"
0,12,"high, alcohol, wine, flavor, fruit, blackberry, acidity, cherry, finish, taste"
0,13,"blackberry, wine, tannin, cherry, flavor, fruit, currant, dark, year, chocolate"
0,14,"full bodied, bodied, full, wine, flavor, full bodied wine, bodied wine, fruit, ripe, finish"
0,15,"wine, fruit, flavor, finish, aroma, citrus, sweet, light, peach, acidity"
0,16,"wine, drink, acidity, fruit, ready, ready drink, fruity, ripe, character, crisp"
0,17,"raspberry, cherry, raspberry cherry, flavor, cherry raspberry, wine, sweet, finish, fruit, red"
0,18,"mango, pineapple, tropical, flavor, acidity, peach, wine, chardonnay, orange, sweet"
0,19,"apple, lemon, palate, green, citrus, lime, finish, nose, flavor, note"
0,20,"pomegranate, sage, tea, old, vine, velvety, power, cola, mouthfeel, vineyard"
0,21,"french, french oak, oak, new, aged, month, barrel, wine, fruit, flavor"
