,clusters,total_reviews
0,7,20280
1,13,9779
2,17,9110
3,18,9100
4,4,8256
5,10,7536
6,8,5814
7,0,5676
8,9,5294
9,3,5257
10,11,5053
11,16,4466
12,2,4434
13,6,3825
14,1,3630
15,14,3475
16,15,2848
17,5,1799
18,12,1718
