,country,clusters,total
0,Argentina,0,0.24
1,Argentina,1,0.01
2,Argentina,2,0.02
3,Argentina,3,0.02
4,Argentina,4,0.02
5,Argentina,5,0.01
6,Argentina,6,0.01
7,Argentina,7,0.0
8,Argentina,8,0.01
9,Argentina,9,0.01
10,Argentina,10,0.02
11,Armenia,0,0.0
12,Armenia,1,0.0
13,Armenia,2,0.0
14,Armenia,3,0.0
15,Armenia,4,0.0
16,Armenia,5,0.0
17,Armenia,6,0.0
18,Armenia,7,0.0
19,Armenia,8,0.0
20,Armenia,9,0.0
21,Armenia,10,0.0
22,Australia,0,0.01
23,Australia,1,0.0
24,Australia,2,0.01
25,Australia,3,0.02
26,Australia,4,0.02
27,Australia,5,0.02
28,Australia,6,0.02
29,Australia,7,0.0
30,Australia,8,0.08
31,Australia,9,0.01
32,Australia,10,0.01
33,Austria,0,0.0
34,Austria,1,0.01
35,Austria,2,0.04
36,Austria,3,0.02
37,Austria,4,0.09
38,Austria,5,0.01
39,Austria,6,0.01
40,Austria,7,0.03
41,Austria,8,0.01
42,Austria,9,0.03
43,Austria,10,0.0
44,Bosnia and Herzegovina,0,0.0
45,Bosnia and Herzegovina,1,0.0
46,Bosnia and Herzegovina,2,0.0
47,Bosnia and Herzegovina,3,0.0
48,Bosnia and Herzegovina,4,0.0
49,Bosnia and Herzegovina,5,0.0
50,Bosnia and Herzegovina,6,0.0
51,Bosnia and Herzegovina,7,0.0
52,Bosnia and Herzegovina,8,0.0
53,Bosnia and Herzegovina,9,0.0
54,Bosnia and Herzegovina,10,0.0
55,Brazil,0,0.0
56,Brazil,1,0.0
57,Brazil,2,0.0
58,Brazil,3,0.0
59,Brazil,4,0.0
60,Brazil,5,0.0
61,Brazil,6,0.0
62,Brazil,7,0.0
63,Brazil,8,0.0
64,Brazil,9,0.0
65,Brazil,10,0.0
66,Bulgaria,0,0.0
67,Bulgaria,1,0.0
68,Bulgaria,2,0.0
69,Bulgaria,3,0.0
70,Bulgaria,4,0.0
71,Bulgaria,5,0.0
72,Bulgaria,6,0.0
73,Bulgaria,7,0.0
74,Bulgaria,8,0.0
75,Bulgaria,9,0.0
76,Bulgaria,10,0.0
77,Canada,0,0.0
78,Canada,1,0.0
79,Canada,2,0.0
80,Canada,3,0.01
81,Canada,4,0.0
82,Canada,5,0.0
83,Canada,6,0.0
84,Canada,7,0.0
