,clusters,total_reviews
0,12,21278
1,4,14545
2,14,10765
3,10,9890
4,2,9013
5,0,8608
6,3,7551
7,13,6134
8,6,5969
9,11,5389
10,8,5159
11,16,4523
12,1,3703
13,9,3053
14,15,1768
15,5,1
16,7,1
