,clusters,total_reviews
0,12,19895
1,10,10589
2,11,8750
3,3,6571
4,2,6108
5,5,5780
6,17,5561
7,4,5523
8,1,5291
9,9,5064
10,16,4522
11,8,4480
12,6,4356
13,13,4092
14,14,3109
15,22,2983
16,19,2939
17,20,2799
18,0,2444
19,21,2199
20,18,1796
21,7,1453
22,15,1046
