,country,clusters,total
0,Argentina,0,0.03
1,Argentina,1,0.01
2,Argentina,2,0.0
3,Argentina,3,0.01
4,Argentina,4,0.01
5,Argentina,5,0.0
6,Argentina,6,0.02
7,Argentina,7,0.03
8,Argentina,8,0.01
9,Argentina,9,0.25
10,Argentina,10,0.01
11,Argentina,11,0.02
12,Argentina,12,0.03
13,Argentina,13,0.01
14,Argentina,14,0.01
15,Argentina,15,0.02
16,Argentina,16,0.0
17,Argentina,17,0.03
18,Argentina,18,0.04
19,Argentina,19,0.03
20,Argentina,20,0.0
21,Argentina,21,0.0
22,Armenia,0,0.0
23,Armenia,1,0.0
24,Armenia,2,0.0
25,Armenia,3,0.0
26,Armenia,4,0.0
27,Armenia,5,0.0
28,Armenia,6,0.0
29,Armenia,7,0.0
30,Armenia,8,0.0
31,Armenia,9,0.0
32,Armenia,10,0.0
33,Armenia,11,0.0
34,Armenia,12,0.0
35,Armenia,13,0.0
36,Armenia,14,0.0
37,Armenia,15,0.0
38,Armenia,16,0.0
39,Armenia,17,0.0
40,Armenia,18,0.0
41,Armenia,19,0.0
42,Armenia,20,0.0
43,Armenia,21,0.0
44,Australia,0,0.01
45,Australia,1,0.01
46,Australia,2,0.0
47,Australia,3,0.01
48,Australia,4,0.09
49,Australia,5,0.0
50,Australia,6,0.01
51,Australia,7,0.01
52,Australia,8,0.01
53,Australia,9,0.01
54,Australia,10,0.03
55,Australia,11,0.01
56,Australia,12,0.01
57,Australia,13,0.02
58,Australia,14,0.07
59,Australia,15,0.03
60,Australia,16,0.0
61,Australia,17,0.01
62,Australia,18,0.01
63,Australia,19,0.01
64,Australia,20,0.0
65,Australia,21,0.01
66,Austria,0,0.01
67,Austria,1,0.13
68,Austria,2,0.03
69,Austria,3,0.0
70,Austria,4,0.01
71,Austria,5,0.0
72,Austria,6,0.0
73,Austria,7,0.04
74,Austria,8,0.04
75,Austria,9,0.0
76,Austria,10,0.01
77,Austria,11,0.03
78,Austria,12,0.01
79,Austria,13,0.01
80,Austria,14,0.01
81,Austria,15,0.03
82,Austria,16,0.04
83,Austria,17,0.0
84,Austria,18,0.03
85,Austria,19,0.07
86,Austria,20,0.0
87,Austria,21,0.0
88,Bosnia and Herzegovina,0,0.0
89,Bosnia and Herzegovina,1,0.0
90,Bosnia and Herzegovina,2,0.0
91,Bosnia and Herzegovina,3,0.0
92,Bosnia and Herzegovina,4,0.0
93,Bosnia and Herzegovina,5,0.0
94,Bosnia and Herzegovina,6,0.0
95,Bosnia and Herzegovina,7,0.0
96,Bosnia and Herzegovina,8,0.0
97,Bosnia and Herzegovina,9,0.0
98,Bosnia and Herzegovina,10,0.0
99,Bosnia and Herzegovina,11,0.0
100,Bosnia and Herzegovina,12,0.0
101,Bosnia and Herzegovina,13,0.0
102,Bosnia and Herzegovina,14,0.0
103,Bosnia and Herzegovina,15,0.0
104,Bosnia and Herzegovina,16,0.0
105,Bosnia and Herzegovina,17,0.0
106,Bosnia and Herzegovina,18,0.0
107,Bosnia and Herzegovina,19,0.0
108,Bosnia and Herzegovina,20,0.0
109,Bosnia and Herzegovina,21,0.0
110,Brazil,0,0.0
111,Brazil,1,0.0
112,Brazil,2,0.0
113,Brazil,3,0.0
114,Brazil,4,0.0
115,Brazil,5,0.0
116,Brazil,6,0.0
117,Brazil,7,0.0
118,Brazil,8,0.0
119,Brazil,9,0.0
120,Brazil,10,0.0
121,Brazil,11,0.0
122,Brazil,12,0.0
123,Brazil,13,0.0
124,Brazil,14,0.0
125,Brazil,15,0.0
126,Brazil,16,0.0
127,Brazil,17,0.0
128,Brazil,18,0.0
129,Brazil,19,0.0
130,Brazil,20,0.0
131,Brazil,21,0.0
132,Bulgaria,0,0.01
133,Bulgaria,1,0.0
134,Bulgaria,2,0.0
135,Bulgaria,3,0.0
136,Bulgaria,4,0.0
137,Bulgaria,5,0.0
138,Bulgaria,6,0.0
139,Bulgaria,7,0.0
140,Bulgaria,8,0.0
141,Bulgaria,9,0.0
142,Bulgaria,10,0.0
143,Bulgaria,11,0.0
144,Bulgaria,12,0.0
145,Bulgaria,13,0.0
146,Bulgaria,14,0.0
147,Bulgaria,15,0.0
148,Bulgaria,16,0.0
149,Bulgaria,17,0.0
150,Bulgaria,18,0.01
151,Bulgaria,19,0.0
152,Bulgaria,20,0.0
153,Bulgaria,21,0.0
154,Canada,0,0.0
155,Canada,1,0.0
156,Canada,2,0.0
157,Canada,3,0.0
158,Canada,4,0.0
159,Canada,5,0.0
160,Canada,6,0.0
161,Canada,7,0.0
162,Canada,8,0.0
163,Canada,9,0.0
164,Canada,10,0.0
165,Canada,11,0.0
166,Canada,12,0.0
167,Canada,13,0.0
168,Canada,14,0.0
169,Canada,15,0.0
170,Canada,16,0.0
171,Canada,17,0.0
172,Canada,18,0.0
173,Canada,19,0.0
174,Canada,20,0.0
175,Canada,21,0.01
176,Chile,0,0.02
177,Chile,1,0.02
178,Chile,2,0.0
179,Chile,3,0.0
180,Chile,4,0.01
181,Chile,5,0.0
182,Chile,6,0.03
183,Chile,7,0.04
184,Chile,8,0.02
185,Chile,9,0.25
186,Chile,10,0.02
187,Chile,11,0.02
188,Chile,12,0.03
189,Chile,13,0.01
190,Chile,14,0.01
191,Chile,15,0.02
192,Chile,16,0.0
193,Chile,17,0.03
194,Chile,18,0.05
195,Chile,19,0.07
196,Chile,20,0.0
197,Chile,21,0.0
198,China,0,0.0
199,China,1,0.0
200,China,2,0.0
201,China,3,0.0
202,China,4,0.0
203,China,5,0.0
204,China,6,0.0
205,China,7,0.0
206,China,8,0.0
207,China,9,0.0
208,China,10,0.0
209,China,11,0.0
210,China,12,0.0
