,cluster,common_words
0,0,"berry, finish, flavor, aroma, plum, herbal, feel, palate, fruit, note"
0,1,"apple, pear, green, palate, green apple, flavor, lemon, finish, acidity, citrus"
0,2,"cherry, black, palate, aroma, black cherry, tannin, red, spice, pepper, nose"
0,3,"bodied, full bodied, full, medium bodied, medium, wine, bodied wine, flavor, fruit, finish"
0,4,"flavor, peach, citrus, white, wine, lemon, finish, fruit, palate, acidity"
0,5,"cabernet, cabernet sauvignon, sauvignon, merlot, blend, franc, cabernet franc, verdot, petit verdot, petit"
0,6,"wine, drink, acidity, fruit, ripe, fruity, ready, character, ready drink, red"
0,7,"wine, fruit, tannin, flavor, cherry, blackberry, black, oak, rich, year"
