,cluster,common_words
0,0,"apple, lime, lemon, green, green apple, flavor, crisp, finish, palate, acidity"
0,1,"pinot, noir, pinot noir, cherry, raspberry, flavor, cola, silky, raspberry cherry, dry"
0,2,"blackberry, flavor, wine, tannin, oak, cherry, chocolate, currant, blackberry cherry, dry"
0,3,"wood, wine, aging, wood aging, fruit, drink, rich, ripe, tannin, acidity"
0,4,"alongside, tannin, palate, cherry, aroma, palate offer, black, offer, berry, black cherry"
0,5,"wine, peach, flavor, white, citrus, finish, pear, aroma, apple, fruit"
0,6,"sweet, flavor, pineapple, wine, vanilla, like, orange, apricot, chardonnay, taste"
0,7,"wine, black currant, tannin, black, currant, firm, fruit, drink, structure, acidity"
0,8,"berry, finish, aroma, flavor, plum, feel, herbal, palate, berry fruit, berry flavor"
0,9,"cabernet, cabernet sauvignon, sauvignon, merlot, blend, franc, cabernet franc, verdot, petit verdot, petit"
0,10,"wine, dense, fruit, tannin, rich, dark, concentrated, structure, powerful, drink"
0,11,"stone, stone fruit, white, fruit, palate, aroma, yellow, flower, citrus, apple"
0,12,"bodied, full bodied, full, medium bodied, medium, wine, bodied wine, flavor, finish, fruit"
0,13,"fruit, flavor, aroma, cherry, finish, wine, herb, note, spice, palate"
0,14,"red, red fruit, fruit, cherry, red cherry, wine, flavor, red berry, berry, palate"
0,15,"black, black cherry, cherry, pepper, black pepper, palate, fruit, wine, tannin, flavor"
0,16,"palate, nose, freshness, lemon, pear, nose palate, note, fresh, apple, finish"
0,17,"wine, drink, acidity, fruity, ready, ready drink, fruit, crisp, character, ripe"
0,18,"dre, mourv dre, mourv, next, grenache, year, next year, syrah, blend, wine"
0,19,"tropical, tropical fruit, fruit, flavor, acidity, wine, citrus, chardonnay, finish, peach"
