,cluster,common_words
0,0,"next, year, next year, wine, drink, develop, cherry, flavor, tannin, fruit"
0,1,"white, citrus, peach, aroma, palate, flower, apple, stone, fruit, stone fruit"
0,2,"cabernet, cabernet sauvignon, sauvignon, merlot, blend, franc, cabernet franc, verdot, petit verdot, petit"
0,3,"fruit, wine, cherry, flavor, aroma, finish, spice, palate, red, note"
0,4,"wine, acidity, character, crisp, fruit, wood, drink, texture, ripe, fresh"
0,5,"french, french oak, oak, new, aged, month, barrel, fruit, wine, flavor"
0,6,"black, cherry, palate, tannin, black cherry, aroma, alongside, offer, palate offer, berry"
0,7,"apple, flavor, pear, chardonnay, pineapple, wine, finish, tropical, acidity, fruit"
0,8,"full bodied, bodied, full, wine, flavor, full bodied wine, bodied wine, fruit, ripe, finish"
0,9,"riesling, dry, lime, peach, finish, lemon, tangerine, acidity, flavor, palate"
0,10,"berry, plum, finish, flavor, aroma, herbal, feel, palate, note, fruit"
0,11,"blackberry, flavor, cherry, currant, black, tannin, wine, chocolate, oak, dry"
0,12,"soft, wine, fruity, acidity, red, fruit, ripe, light, drink, attractive"
0,13,"pinot, noir, pinot noir, cherry, raspberry, flavor, silky, cola, raspberry cherry, dry"
0,14,"ready drink, ready, drink, wine, fruit, acidity, fruity, ripe, soft, attractive"
0,15,"medium bodied, medium, bodied, bodied wine, wine, flavor, finish, aroma, cherry, fruit"
0,16,"wine, fruit, tannin, firm, structure, drink, black, aging, ripe, dense"
0,17,"lemon, lime, apple, palate, lemon lime, nose, flavor, wine, grapefruit, finish"
