,clusters,total_reviews
0,13,23245
1,12,10837
2,2,9473
3,14,8700
4,4,8354
5,10,8157
6,5,7325
7,11,7291
8,8,6950
9,1,6169
10,6,5239
11,15,5092
12,0,3909
13,9,3781
14,3,1792
15,7,1036
