,country,clusters,total
0,Argentina,0,0.03
1,Argentina,1,0.08
2,Argentina,2,0.02
3,Argentina,3,0.01
4,Argentina,4,0.01
5,Argentina,5,0.0
6,Armenia,0,0.0
7,Armenia,1,0.0
8,Armenia,2,0.0
9,Armenia,3,0.0
10,Armenia,4,0.0
11,Armenia,5,0.0
12,Australia,0,0.01
13,Australia,1,0.01
14,Australia,2,0.01
15,Australia,3,0.07
16,Australia,4,0.02
17,Australia,5,0.0
18,Austria,0,0.0
19,Austria,1,0.01
20,Austria,2,0.06
21,Austria,3,0.01
22,Austria,4,0.01
23,Austria,5,0.04
24,Bosnia and Herzegovina,0,0.0
25,Bosnia and Herzegovina,1,0.0
26,Bosnia and Herzegovina,2,0.0
27,Bosnia and Herzegovina,3,0.0
28,Bosnia and Herzegovina,4,0.0
29,Bosnia and Herzegovina,5,0.0
30,Brazil,0,0.0
31,Brazil,1,0.0
32,Brazil,2,0.0
33,Brazil,3,0.0
34,Brazil,4,0.0
35,Brazil,5,0.0
36,Bulgaria,0,0.0
37,Bulgaria,1,0.0
38,Bulgaria,2,0.0
39,Bulgaria,3,0.0
40,Bulgaria,4,0.0
41,Bulgaria,5,0.0
42,Canada,0,0.0
43,Canada,1,0.0
44,Canada,2,0.0
45,Canada,3,0.0
46,Canada,4,0.0
47,Canada,5,0.0
48,Chile,0,0.03
49,Chile,1,0.08
50,Chile,2,0.04
51,Chile,3,0.01
52,Chile,4,0.01
53,Chile,5,0.0
54,China,0,0.0
55,China,1,0.0
56,China,2,0.0
57,China,3,0.0
58,China,4,0.0
59,China,5,0.0
60,Croatia,0,0.0
61,Croatia,1,0.0
62,Croatia,2,0.0
63,Croatia,3,0.0
64,Croatia,4,0.0
65,Croatia,5,0.0
66,Cyprus,0,0.0
67,Cyprus,1,0.0
68,Cyprus,2,0.0
69,Cyprus,3,0.0
70,Cyprus,4,0.0
71,Cyprus,5,0.0
72,Czech Republic,0,0.0
73,Czech Republic,1,0.0
74,Czech Republic,2,0.0
75,Czech Republic,3,0.0
76,Czech Republic,4,0.0
77,Czech Republic,5,0.0
78,Egypt,0,0.0
79,Egypt,1,0.0
80,Egypt,2,0.0
81,Egypt,3,0.0
82,Egypt,4,0.0
83,Egypt,5,0.0
84,England,0,0.0
85,England,1,0.0
86,England,2,0.0
87,England,3,0.0
88,England,4,0.0
89,England,5,0.0
90,France,0,0.06
91,France,1,0.02
92,France,2,0.09
93,France,3,0.12
94,France,4,0.03
95,France,5,0.7
96,Georgia,0,0.0
97,Georgia,1,0.0
98,Georgia,2,0.0
99,Georgia,3,0.0
100,Georgia,4,0.0
101,Georgia,5,0.0
102,Germany,0,0.0
103,Germany,1,0.0
104,Germany,2,0.06
105,Germany,3,0.01
106,Germany,4,0.01
107,Germany,5,0.0
108,Greece,0,0.0
109,Greece,1,0.01
110,Greece,2,0.01
111,Greece,3,0.0
112,Greece,4,0.0
113,Greece,5,0.0
114,Hungary,0,0.0
115,Hungary,1,0.0
116,Hungary,2,0.0
117,Hungary,3,0.0
118,Hungary,4,0.0
119,Hungary,5,0.0
120,India,0,0.0
121,India,1,0.0
122,India,2,0.0
