,country,clusters,total
202,Chile,10,0.0
203,Chile,11,0.03
204,Chile,12,0.01
205,Chile,13,0.03
206,Chile,14,0.0
207,Chile,15,0.08
208,Chile,16,0.02
209,Chile,17,0.02
210,Chile,18,0.03
211,Chile,19,0.02
212,Chile,20,0.02
213,Chile,21,0.27
214,Chile,22,0.06
215,Chile,23,0.0
216,China,0,0.0
217,China,1,0.0
218,China,2,0.0
219,China,3,0.0
220,China,4,0.0
221,China,5,0.0
222,China,6,0.0
223,China,7,0.0
224,China,8,0.0
225,China,9,0.0
226,China,10,0.0
227,China,11,0.0
228,China,12,0.0
229,China,13,0.0
230,China,14,0.0
231,China,15,0.0
232,China,16,0.0
233,China,17,0.0
234,China,18,0.0
235,China,19,0.0
236,China,20,0.0
237,China,21,0.0
238,China,22,0.0
239,China,23,0.0
240,Croatia,0,0.0
241,Croatia,1,0.0
242,Croatia,2,0.0
243,Croatia,3,0.0
244,Croatia,4,0.0
245,Croatia,5,0.0
246,Croatia,6,0.0
247,Croatia,7,0.0
248,Croatia,8,0.0
249,Croatia,9,0.0
250,Croatia,10,0.0
251,Croatia,11,0.0
252,Croatia,12,0.0
253,Croatia,13,0.0
254,Croatia,14,0.0
255,Croatia,15,0.0
256,Croatia,16,0.0
257,Croatia,17,0.0
258,Croatia,18,0.0
259,Croatia,19,0.0
260,Croatia,20,0.0
261,Croatia,21,0.0
262,Croatia,22,0.0
263,Croatia,23,0.0
264,Cyprus,0,0.0
265,Cyprus,1,0.0
266,Cyprus,2,0.0
267,Cyprus,3,0.0
268,Cyprus,4,0.0
269,Cyprus,5,0.0
270,Cyprus,6,0.0
271,Cyprus,7,0.0
272,Cyprus,8,0.0
273,Cyprus,9,0.0
274,Cyprus,10,0.0
275,Cyprus,11,0.0
276,Cyprus,12,0.0
277,Cyprus,13,0.0
278,Cyprus,14,0.0
279,Cyprus,15,0.0
280,Cyprus,16,0.0
281,Cyprus,17,0.0
282,Cyprus,18,0.0
283,Cyprus,19,0.0
284,Cyprus,20,0.0
285,Cyprus,21,0.0
286,Cyprus,22,0.0
287,Cyprus,23,0.0
288,Czech Republic,0,0.0
289,Czech Republic,1,0.0
290,Czech Republic,2,0.0
291,Czech Republic,3,0.0
292,Czech Republic,4,0.0
293,Czech Republic,5,0.0
294,Czech Republic,6,0.0
295,Czech Republic,7,0.0
296,Czech Republic,8,0.0
297,Czech Republic,9,0.0
298,Czech Republic,10,0.0
299,Czech Republic,11,0.0
300,Czech Republic,12,0.0
301,Czech Republic,13,0.0
302,Czech Republic,14,0.0
303,Czech Republic,15,0.0
304,Czech Republic,16,0.0
305,Czech Republic,17,0.0
306,Czech Republic,18,0.0
307,Czech Republic,19,0.0
308,Czech Republic,20,0.0
309,Czech Republic,21,0.0
310,Czech Republic,22,0.0
311,Czech Republic,23,0.0
312,Egypt,0,0.0
313,Egypt,1,0.0
314,Egypt,2,0.0
315,Egypt,3,0.0
316,Egypt,4,0.0
317,Egypt,5,0.0
318,Egypt,6,0.0
319,Egypt,7,0.0
320,Egypt,8,0.0
321,Egypt,9,0.0
322,Egypt,10,0.0
323,Egypt,11,0.0
324,Egypt,12,0.0
325,Egypt,13,0.0
326,Egypt,14,0.0
327,Egypt,15,0.0
328,Egypt,16,0.0
329,Egypt,17,0.0
330,Egypt,18,0.0
331,Egypt,19,0.0
332,Egypt,20,0.0
333,Egypt,21,0.0
334,Egypt,22,0.0
335,Egypt,23,0.0
336,England,0,0.0
337,England,1,0.0
338,England,2,0.0
339,England,3,0.0
340,England,4,0.0
341,England,5,0.0
342,England,6,0.0
343,England,7,0.0
344,England,8,0.0
345,England,9,0.0
346,England,10,0.0
347,England,11,0.0
348,England,12,0.0
349,England,13,0.0
350,England,14,0.0
351,England,15,0.0
352,England,16,0.0
353,England,17,0.0
354,England,18,0.0
355,England,19,0.0
356,England,20,0.0
357,England,21,0.0
358,England,22,0.0
359,England,23,0.0
360,France,0,0.15
361,France,1,0.1
362,France,2,0.16
363,France,3,0.72
364,France,4,0.62
365,France,5,0.04
366,France,6,0.0
367,France,7,0.06
368,France,8,0.04
369,France,9,0.67
370,France,10,0.0
371,France,11,0.1
372,France,12,0.07
373,France,13,0.16
374,France,14,0.0
375,France,15,0.08
376,France,16,0.05
377,France,17,0.07
378,France,18,0.02
379,France,19,0.03
380,France,20,0.03
381,France,21,0.01
382,France,22,0.12
383,France,23,0.6
384,Georgia,0,0.0
385,Georgia,1,0.0
386,Georgia,2,0.0
387,Georgia,3,0.0
388,Georgia,4,0.0
389,Georgia,5,0.0
390,Georgia,6,0.0
391,Georgia,7,0.0
392,Georgia,8,0.0
393,Georgia,9,0.0
394,Georgia,10,0.0
395,Georgia,11,0.01
396,Georgia,12,0.0
397,Georgia,13,0.0
398,Georgia,14,0.0
399,Georgia,15,0.0
400,Georgia,16,0.0
401,Georgia,17,0.0
402,Georgia,18,0.0
403,Georgia,19,0.0
404,Georgia,20,0.0
405,Georgia,21,0.0
406,Georgia,22,0.0
407,Georgia,23,0.0
408,Germany,0,0.01
409,Germany,1,0.03
410,Germany,2,0.0
411,Germany,3,0.0
412,Germany,4,0.0
413,Germany,5,0.02
414,Germany,6,0.0
415,Germany,7,0.0
416,Germany,8,0.13
417,Germany,9,0.0
418,Germany,10,0.0
419,Germany,11,0.0
420,Germany,12,0.02
421,Germany,13,0.0
422,Germany,14,0.0
423,Germany,15,0.0
424,Germany,16,0.02
425,Germany,17,0.06
426,Germany,18,0.0
427,Germany,19,0.0
428,Germany,20,0.0
429,Germany,21,0.0
430,Germany,22,0.01
431,Germany,23,0.01
432,Greece,0,0.0
433,Greece,1,0.0
434,Greece,2,0.0
435,Greece,3,0.0
436,Greece,4,0.0
437,Greece,5,0.0
438,Greece,6,0.0
439,Greece,7,0.0
440,Greece,8,0.01
441,Greece,9,0.0
442,Greece,10,0.0
443,Greece,11,0.0
444,Greece,12,0.0
445,Greece,13,0.02
446,Greece,14,0.0
447,Greece,15,0.0
448,Greece,16,0.0
449,Greece,17,0.0
450,Greece,18,0.0
451,Greece,19,0.0
452,Greece,20,0.01
453,Greece,21,0.0
454,Greece,22,0.02
455,Greece,23,0.0
456,Hungary,0,0.0
457,Hungary,1,0.0
458,Hungary,2,0.0
459,Hungary,3,0.0
460,Hungary,4,0.0
461,Hungary,5,0.0
462,Hungary,6,0.0
463,Hungary,7,0.0
464,Hungary,8,0.01
465,Hungary,9,0.0
466,Hungary,10,0.0
467,Hungary,11,0.0
468,Hungary,12,0.0
469,Hungary,13,0.0
470,Hungary,14,0.0
471,Hungary,15,0.0
472,Hungary,16,0.0
473,Hungary,17,0.0
474,Hungary,18,0.0
475,Hungary,19,0.0
476,Hungary,20,0.0
