,country,clusters,total
0,Argentina,0,0.02
1,Argentina,1,0.02
2,Argentina,2,0.01
3,Argentina,3,0.24
4,Argentina,4,0.02
5,Argentina,5,0.02
6,Argentina,6,0.01
7,Argentina,7,0.0
8,Argentina,8,0.02
9,Armenia,0,0.0
10,Armenia,1,0.0
11,Armenia,2,0.0
12,Armenia,3,0.0
13,Armenia,4,0.0
14,Armenia,5,0.0
15,Armenia,6,0.0
16,Armenia,7,0.0
17,Armenia,8,0.0
18,Australia,0,0.01
19,Australia,1,0.03
20,Australia,2,0.03
21,Australia,3,0.01
22,Australia,4,0.02
23,Australia,5,0.01
24,Australia,6,0.01
25,Australia,7,0.0
26,Australia,8,0.01
27,Austria,0,0.06
28,Austria,1,0.01
29,Austria,2,0.02
30,Austria,3,0.0
31,Austria,4,0.05
32,Austria,5,0.04
33,Austria,6,0.01
34,Austria,7,0.03
35,Austria,8,0.0
36,Bosnia and Herzegovina,0,0.0
37,Bosnia and Herzegovina,1,0.0
38,Bosnia and Herzegovina,2,0.0
39,Bosnia and Herzegovina,3,0.0
40,Bosnia and Herzegovina,4,0.0
41,Bosnia and Herzegovina,5,0.0
42,Bosnia and Herzegovina,6,0.0
43,Bosnia and Herzegovina,7,0.0
44,Bosnia and Herzegovina,8,0.0
45,Brazil,0,0.0
46,Brazil,1,0.0
47,Brazil,2,0.0
48,Brazil,3,0.0
49,Brazil,4,0.0
50,Brazil,5,0.0
51,Brazil,6,0.0
52,Brazil,7,0.0
53,Brazil,8,0.0
54,Bulgaria,0,0.0
55,Bulgaria,1,0.0
56,Bulgaria,2,0.0
57,Bulgaria,3,0.0
58,Bulgaria,4,0.0
59,Bulgaria,5,0.0
60,Bulgaria,6,0.0
61,Bulgaria,7,0.0
62,Bulgaria,8,0.0
63,Canada,0,0.0
64,Canada,1,0.0
65,Canada,2,0.0
66,Canada,3,0.0
67,Canada,4,0.0
68,Canada,5,0.0
69,Canada,6,0.0
70,Canada,7,0.0
71,Canada,8,0.0
72,Chile,0,0.04
73,Chile,1,0.01
74,Chile,2,0.01
75,Chile,3,0.26
76,Chile,4,0.03
77,Chile,5,0.02
78,Chile,6,0.01
79,Chile,7,0.0
80,Chile,8,0.03
81,China,0,0.0
82,China,1,0.0
83,China,2,0.0
84,China,3,0.0
85,China,4,0.0
86,China,5,0.0
87,China,6,0.0
88,China,7,0.0
89,China,8,0.0
90,Croatia,0,0.0
91,Croatia,1,0.0
92,Croatia,2,0.0
93,Croatia,3,0.0
94,Croatia,4,0.0
95,Croatia,5,0.0
96,Croatia,6,0.0
97,Croatia,7,0.0
98,Croatia,8,0.0
99,Cyprus,0,0.0
100,Cyprus,1,0.0
101,Cyprus,2,0.0
102,Cyprus,3,0.0
103,Cyprus,4,0.0
104,Cyprus,5,0.0
105,Cyprus,6,0.0
106,Cyprus,7,0.0
107,Cyprus,8,0.0
108,Czech Republic,0,0.0
109,Czech Republic,1,0.0
110,Czech Republic,2,0.0
111,Czech Republic,3,0.0
112,Czech Republic,4,0.0
113,Czech Republic,5,0.0
114,Czech Republic,6,0.0
115,Czech Republic,7,0.0
116,Czech Republic,8,0.0
117,Egypt,0,0.0
118,Egypt,1,0.0
119,Egypt,2,0.0
120,Egypt,3,0.0
121,Egypt,4,0.0
122,Egypt,5,0.0
123,Egypt,6,0.0
124,Egypt,7,0.0
125,Egypt,8,0.0
126,England,0,0.0
127,England,1,0.0
128,England,2,0.0
129,England,3,0.0
130,England,4,0.0
131,England,5,0.0
132,England,6,0.0
133,England,7,0.0
134,England,8,0.0
135,France,0,0.14
136,France,1,0.03
137,France,2,0.14
138,France,3,0.01
139,France,4,0.09
140,France,5,0.15
141,France,6,0.03
142,France,7,0.71
143,France,8,0.06
144,Georgia,0,0.0
145,Georgia,1,0.0
146,Georgia,2,0.0
147,Georgia,3,0.0
148,Georgia,4,0.0
149,Georgia,5,0.0
150,Georgia,6,0.0
151,Georgia,7,0.0
152,Georgia,8,0.0
153,Germany,0,0.04
154,Germany,1,0.0
155,Germany,2,0.01
156,Germany,3,0.0
157,Germany,4,0.07
158,Germany,5,0.01
159,Germany,6,0.01
160,Germany,7,0.0
161,Germany,8,0.0
162,Greece,0,0.0
163,Greece,1,0.0
164,Greece,2,0.0
165,Greece,3,0.0
166,Greece,4,0.01
167,Greece,5,0.01
168,Greece,6,0.0
169,Greece,7,0.0
170,Greece,8,0.0
171,Hungary,0,0.0
172,Hungary,1,0.0
173,Hungary,2,0.0
174,Hungary,3,0.0
175,Hungary,4,0.0
176,Hungary,5,0.0
177,Hungary,6,0.0
178,Hungary,7,0.0
179,Hungary,8,0.0
180,India,0,0.0
181,India,1,0.0
182,India,2,0.0
183,India,3,0.0
184,India,4,0.0
185,India,5,0.0
186,India,6,0.0
187,India,7,0.0
188,India,8,0.0
189,Israel,0,0.0
190,Israel,1,0.0
191,Israel,2,0.0
192,Israel,3,0.0
193,Israel,4,0.0
194,Israel,5,0.01
195,Israel,6,0.02
196,Israel,7,0.0
197,Israel,8,0.01
198,Italy,0,0.15
199,Italy,1,0.14
200,Italy,2,0.05
201,Italy,3,0.02
202,Italy,4,0.16
203,Italy,5,0.28
204,Italy,6,0.5
205,Italy,7,0.01
206,Italy,8,0.15
207,Lebanon,0,0.0
208,Lebanon,1,0.0
209,Lebanon,2,0.0
210,Lebanon,3,0.0
211,Lebanon,4,0.0
212,Lebanon,5,0.0
213,Lebanon,6,0.0
214,Lebanon,7,0.0
215,Lebanon,8,0.0
216,Luxembourg,0,0.0
217,Luxembourg,1,0.0
218,Luxembourg,2,0.0
219,Luxembourg,3,0.0
220,Luxembourg,4,0.0
221,Luxembourg,5,0.0
222,Luxembourg,6,0.0
223,Luxembourg,7,0.0
224,Luxembourg,8,0.0
225,Macedonia,0,0.0
226,Macedonia,1,0.0
227,Macedonia,2,0.0
228,Macedonia,3,0.0
229,Macedonia,4,0.0
230,Macedonia,5,0.0
231,Macedonia,6,0.0
232,Macedonia,7,0.0
233,Macedonia,8,0.0
234,Mexico,0,0.0
235,Mexico,1,0.0
236,Mexico,2,0.0
237,Mexico,3,0.0
238,Mexico,4,0.0
239,Mexico,5,0.0
240,Mexico,6,0.0
241,Mexico,7,0.0
242,Mexico,8,0.0
243,Moldova,0,0.0
244,Moldova,1,0.0
245,Moldova,2,0.0
246,Moldova,3,0.0
247,Moldova,4,0.0
248,Moldova,5,0.0
249,Moldova,6,0.0
250,Moldova,7,0.0
251,Moldova,8,0.0
252,Morocco,0,0.0
253,Morocco,1,0.0
254,Morocco,2,0.0
255,Morocco,3,0.0
256,Morocco,4,0.0
257,Morocco,5,0.0
258,Morocco,6,0.0
259,Morocco,7,0.0
260,Morocco,8,0.0
261,New Zealand,0,0.0
262,New Zealand,1,0.01
263,New Zealand,2,0.03
264,New Zealand,3,0.0
265,New Zealand,4,0.02
266,New Zealand,5,0.0
267,New Zealand,6,0.01
268,New Zealand,7,0.0
269,New Zealand,8,0.0
270,Peru,0,0.0
271,Peru,1,0.0
272,Peru,2,0.0
273,Peru,3,0.0
274,Peru,4,0.0
275,Peru,5,0.0
276,Peru,6,0.0
277,Peru,7,0.0
278,Peru,8,0.0
279,Portugal,0,0.03
280,Portugal,1,0.0
281,Portugal,2,0.03
282,Portugal,3,0.0
283,Portugal,4,0.01
284,Portugal,5,0.03
285,Portugal,6,0.0
286,Portugal,7,0.23
287,Portugal,8,0.01
288,Romania,0,0.0
289,Romania,1,0.0
290,Romania,2,0.0
291,Romania,3,0.0
