,cluster,common_words
0,0,"cabernet, cabernet sauvignon, sauvignon, merlot, blend, franc, cabernet franc, merlot cabernet, verdot, petit verdot"
0,1,"aroma, palate, black, berry, plum, cherry, finish, flavor, fruit, note"
0,2,"apple, flavor, lemon, citrus, peach, palate, white, finish, pear, acidity"
0,3,"bodied, full bodied, full, medium bodied, medium, wine, bodied wine, flavor, fruit, finish"
0,4,"cherry, wine, flavor, blackberry, oak, fruit, tannin, raspberry, pinot, sweet"
0,5,"wine, fruit, drink, acidity, ripe, tannin, character, wood, rich, fruity"
