,country,clusters,total
0,Argentina,0,0.04
1,Argentina,1,0.0
2,Argentina,2,0.0
3,Argentina,3,0.0
4,Argentina,4,0.0
5,Argentina,5,0.01
6,Argentina,6,0.12
7,Argentina,7,0.0
8,Argentina,8,0.21
9,Argentina,9,0.03
10,Argentina,10,0.01
11,Argentina,11,0.02
12,Argentina,12,0.03
13,Argentina,13,0.01
14,Argentina,14,0.02
15,Argentina,15,0.02
16,Armenia,0,0.0
17,Armenia,1,0.0
18,Armenia,2,0.0
19,Armenia,3,0.0
20,Armenia,4,0.0
21,Armenia,5,0.0
22,Armenia,6,0.0
23,Armenia,7,0.0
24,Armenia,8,0.0
25,Armenia,9,0.0
26,Armenia,10,0.0
27,Armenia,11,0.0
28,Armenia,12,0.0
29,Armenia,13,0.0
30,Armenia,14,0.0
31,Armenia,15,0.0
32,Australia,0,0.02
33,Australia,1,0.0
34,Australia,2,0.0
35,Australia,3,0.01
36,Australia,4,0.0
37,Australia,5,0.08
38,Australia,6,0.02
39,Australia,7,0.0
40,Australia,8,0.01
41,Australia,9,0.01
42,Australia,10,0.01
43,Australia,11,0.02
44,Australia,12,0.01
45,Australia,13,0.02
46,Australia,14,0.01
47,Australia,15,0.01
48,Austria,0,0.02
49,Austria,1,0.0
50,Austria,2,0.03
51,Austria,3,0.0
52,Austria,4,0.05
53,Austria,5,0.01
54,Austria,6,0.01
55,Austria,7,0.0
56,Austria,8,0.0
57,Austria,9,0.03
58,Austria,10,0.06
59,Austria,11,0.02
60,Austria,12,0.01
61,Austria,13,0.02
62,Austria,14,0.09
63,Austria,15,0.0
64,Bosnia and Herzegovina,0,0.0
65,Bosnia and Herzegovina,1,0.0
66,Bosnia and Herzegovina,2,0.0
67,Bosnia and Herzegovina,3,0.0
68,Bosnia and Herzegovina,4,0.0
69,Bosnia and Herzegovina,5,0.0
70,Bosnia and Herzegovina,6,0.0
71,Bosnia and Herzegovina,7,0.0
72,Bosnia and Herzegovina,8,0.0
73,Bosnia and Herzegovina,9,0.0
74,Bosnia and Herzegovina,10,0.0
75,Bosnia and Herzegovina,11,0.0
76,Bosnia and Herzegovina,12,0.0
77,Bosnia and Herzegovina,13,0.0
78,Bosnia and Herzegovina,14,0.0
79,Bosnia and Herzegovina,15,0.0
80,Brazil,0,0.0
81,Brazil,1,0.0
82,Brazil,2,0.0
83,Brazil,3,0.0
84,Brazil,4,0.0
85,Brazil,5,0.0
86,Brazil,6,0.0
87,Brazil,7,0.0
88,Brazil,8,0.0
89,Brazil,9,0.0
90,Brazil,10,0.0
91,Brazil,11,0.0
92,Brazil,12,0.0
93,Brazil,13,0.0
94,Brazil,14,0.0
95,Brazil,15,0.0
96,Bulgaria,0,0.0
97,Bulgaria,1,0.0
98,Bulgaria,2,0.0
99,Bulgaria,3,0.0
100,Bulgaria,4,0.0
101,Bulgaria,5,0.0
102,Bulgaria,6,0.0
103,Bulgaria,7,0.0
104,Bulgaria,8,0.0
105,Bulgaria,9,0.0
106,Bulgaria,10,0.0
107,Bulgaria,11,0.0
108,Bulgaria,12,0.0
109,Bulgaria,13,0.0
110,Bulgaria,14,0.0
111,Bulgaria,15,0.0
112,Canada,0,0.0
113,Canada,1,0.0
114,Canada,2,0.0
115,Canada,3,0.01
116,Canada,4,0.0
117,Canada,5,0.0
118,Canada,6,0.0
119,Canada,7,0.0
120,Canada,8,0.0
121,Canada,9,0.0
122,Canada,10,0.0
123,Canada,11,0.01
124,Canada,12,0.0
125,Canada,13,0.0
126,Canada,14,0.0
127,Canada,15,0.0
128,Chile,0,0.05
129,Chile,1,0.0
130,Chile,2,0.0
131,Chile,3,0.0
132,Chile,4,0.0
133,Chile,5,0.01
134,Chile,6,0.1
135,Chile,7,0.0
136,Chile,8,0.25
137,Chile,9,0.05
138,Chile,10,0.02
139,Chile,11,0.02
140,Chile,12,0.02
141,Chile,13,0.01
142,Chile,14,0.05
143,Chile,15,0.03
144,China,0,0.0
145,China,1,0.0
146,China,2,0.0
147,China,3,0.0
148,China,4,0.0
149,China,5,0.0
150,China,6,0.0
151,China,7,0.0
152,China,8,0.0
153,China,9,0.0
154,China,10,0.0
155,China,11,0.0
156,China,12,0.0
157,China,13,0.0
158,China,14,0.0
159,China,15,0.0
160,Croatia,0,0.0
161,Croatia,1,0.0
162,Croatia,2,0.0
163,Croatia,3,0.0
164,Croatia,4,0.0
165,Croatia,5,0.0
166,Croatia,6,0.0
167,Croatia,7,0.0
168,Croatia,8,0.0
169,Croatia,9,0.0
170,Croatia,10,0.0
171,Croatia,11,0.0
172,Croatia,12,0.0
173,Croatia,13,0.0
174,Croatia,14,0.0
175,Croatia,15,0.0
176,Cyprus,0,0.0
177,Cyprus,1,0.0
178,Cyprus,2,0.0
179,Cyprus,3,0.0
180,Cyprus,4,0.0
181,Cyprus,5,0.0
182,Cyprus,6,0.0
183,Cyprus,7,0.0
184,Cyprus,8,0.0
185,Cyprus,9,0.0
186,Cyprus,10,0.0
187,Cyprus,11,0.0
188,Cyprus,12,0.0
189,Cyprus,13,0.0
190,Cyprus,14,0.0
191,Cyprus,15,0.0
192,Czech Republic,0,0.0
193,Czech Republic,1,0.0
194,Czech Republic,2,0.0
195,Czech Republic,3,0.0
196,Czech Republic,4,0.0
197,Czech Republic,5,0.0
198,Czech Republic,6,0.0
199,Czech Republic,7,0.0
200,Czech Republic,8,0.0
201,Czech Republic,9,0.0
202,Czech Republic,10,0.0
203,Czech Republic,11,0.0
204,Czech Republic,12,0.0
205,Czech Republic,13,0.0
206,Czech Republic,14,0.0
207,Czech Republic,15,0.0
208,Egypt,0,0.0
209,Egypt,1,0.0
210,Egypt,2,0.0
211,Egypt,3,0.0
212,Egypt,4,0.0
213,Egypt,5,0.0
214,Egypt,6,0.0
215,Egypt,7,0.0
216,Egypt,8,0.0
217,Egypt,9,0.0
218,Egypt,10,0.0
219,Egypt,11,0.0
220,Egypt,12,0.0
221,Egypt,13,0.0
222,Egypt,14,0.0
223,Egypt,15,0.0
224,England,0,0.0
225,England,1,0.0
226,England,2,0.0
227,England,3,0.0
228,England,4,0.0
229,England,5,0.0
230,England,6,0.0
231,England,7,0.0
232,England,8,0.0
233,England,9,0.0
234,England,10,0.0
235,England,11,0.0
236,England,12,0.0
237,England,13,0.0
238,England,14,0.0
239,England,15,0.0
240,France,0,0.05
241,France,1,0.0
242,France,2,0.69
243,France,3,0.02
244,France,4,0.71
245,France,5,0.13
246,France,6,0.13
247,France,7,0.0
248,France,8,0.01
249,France,9,0.13
250,France,10,0.07
251,France,11,0.09
252,France,12,0.04
253,France,13,0.04
254,France,14,0.13
255,France,15,0.06
256,Georgia,0,0.0
257,Georgia,1,0.0
258,Georgia,2,0.0
259,Georgia,3,0.0
260,Georgia,4,0.0
261,Georgia,5,0.0
262,Georgia,6,0.0
263,Georgia,7,0.0
264,Georgia,8,0.0
265,Georgia,9,0.0
266,Georgia,10,0.0
267,Georgia,11,0.0
268,Georgia,12,0.0
269,Georgia,13,0.0
270,Georgia,14,0.0
271,Georgia,15,0.0
272,Germany,0,0.01
273,Germany,1,0.0
274,Germany,2,0.0
275,Germany,3,0.0
276,Germany,4,0.0
277,Germany,5,0.01
278,Germany,6,0.0
279,Germany,7,0.0
280,Germany,8,0.0
281,Germany,9,0.01
282,Germany,10,0.12
283,Germany,11,0.06
284,Germany,12,0.0
285,Germany,13,0.01
286,Germany,14,0.03
287,Germany,15,0.0
288,Greece,0,0.0
289,Greece,1,0.0
290,Greece,2,0.0
291,Greece,3,0.0
292,Greece,4,0.0
293,Greece,5,0.0
294,Greece,6,0.01
295,Greece,7,0.0
296,Greece,8,0.0
297,Greece,9,0.02
298,Greece,10,0.01
299,Greece,11,0.0
300,Greece,12,0.0
301,Greece,13,0.0
302,Greece,14,0.0
303,Greece,15,0.0
304,Hungary,0,0.0
305,Hungary,1,0.0
306,Hungary,2,0.0
307,Hungary,3,0.0
308,Hungary,4,0.0
309,Hungary,5,0.0
310,Hungary,6,0.0
311,Hungary,7,0.0
312,Hungary,8,0.0
313,Hungary,9,0.0
314,Hungary,10,0.0
315,Hungary,11,0.0
316,Hungary,12,0.0
317,Hungary,13,0.0
318,Hungary,14,0.0
319,Hungary,15,0.0
320,India,0,0.0
321,India,1,0.0
322,India,2,0.0
323,India,3,0.0
324,India,4,0.0
325,India,5,0.0
326,India,6,0.0
327,India,7,0.0
328,India,8,0.0
329,India,9,0.0
330,India,10,0.0
331,India,11,0.0
332,India,12,0.0
333,India,13,0.0
334,India,14,0.0
335,India,15,0.0
336,Israel,0,0.0
337,Israel,1,0.0
338,Israel,2,0.0
339,Israel,3,0.01
340,Israel,4,0.0
341,Israel,5,0.0
342,Israel,6,0.0
343,Israel,7,0.0
344,Israel,8,0.0
345,Israel,9,0.0
346,Israel,10,0.0
347,Israel,11,0.0
348,Israel,12,0.02
349,Israel,13,0.0
350,Israel,14,0.0
351,Israel,15,0.01
352,Italy,0,0.05
353,Italy,1,0.98
354,Italy,2,0.01
355,Italy,3,0.06
356,Italy,4,0.0
357,Italy,5,0.02
358,Italy,6,0.13
359,Italy,7,0.0
360,Italy,8,0.02
361,Italy,9,0.06
362,Italy,10,0.24
363,Italy,11,0.14
364,Italy,12,0.13
365,Italy,13,0.14
366,Italy,14,0.16
367,Italy,15,0.16
368,Lebanon,0,0.0
369,Lebanon,1,0.0
370,Lebanon,2,0.0
371,Lebanon,3,0.0
372,Lebanon,4,0.0
373,Lebanon,5,0.0
374,Lebanon,6,0.0
375,Lebanon,7,0.0
376,Lebanon,8,0.0
377,Lebanon,9,0.0
378,Lebanon,10,0.0
379,Lebanon,11,0.0
380,Lebanon,12,0.0
381,Lebanon,13,0.0
382,Lebanon,14,0.0
383,Lebanon,15,0.0
384,Luxembourg,0,0.0
385,Luxembourg,1,0.0
386,Luxembourg,2,0.0
387,Luxembourg,3,0.0
388,Luxembourg,4,0.0
389,Luxembourg,5,0.0
390,Luxembourg,6,0.0
391,Luxembourg,7,0.0
392,Luxembourg,8,0.0
393,Luxembourg,9,0.0
394,Luxembourg,10,0.0
395,Luxembourg,11,0.0
396,Luxembourg,12,0.0
397,Luxembourg,13,0.0
398,Luxembourg,14,0.0
399,Luxembourg,15,0.0
400,Macedonia,0,0.0
401,Macedonia,1,0.0
402,Macedonia,2,0.0
403,Macedonia,3,0.0
404,Macedonia,4,0.0
405,Macedonia,5,0.0
406,Macedonia,6,0.0
407,Macedonia,7,0.0
408,Macedonia,8,0.0
409,Macedonia,9,0.0
410,Macedonia,10,0.0
411,Macedonia,11,0.0
412,Macedonia,12,0.0
413,Macedonia,13,0.0
414,Macedonia,14,0.0
415,Macedonia,15,0.0
416,Mexico,0,0.0
417,Mexico,1,0.0
418,Mexico,2,0.0
419,Mexico,3,0.0
420,Mexico,4,0.0
421,Mexico,5,0.0
422,Mexico,6,0.0
423,Mexico,7,0.0
424,Mexico,8,0.0
425,Mexico,9,0.0
426,Mexico,10,0.0
427,Mexico,11,0.0
428,Mexico,12,0.0
429,Mexico,13,0.0
430,Mexico,14,0.0
431,Mexico,15,0.0
432,Moldova,0,0.0
433,Moldova,1,0.0
434,Moldova,2,0.0
435,Moldova,3,0.0
436,Moldova,4,0.0
437,Moldova,5,0.0
438,Moldova,6,0.0
439,Moldova,7,0.0
440,Moldova,8,0.0
441,Moldova,9,0.0
442,Moldova,10,0.0
443,Moldova,11,0.0
444,Moldova,12,0.0
445,Moldova,13,0.0
446,Moldova,14,0.0
447,Moldova,15,0.0
448,Morocco,0,0.0
449,Morocco,1,0.0
450,Morocco,2,0.0
451,Morocco,3,0.0
452,Morocco,4,0.0
453,Morocco,5,0.0
454,Morocco,6,0.0
455,Morocco,7,0.0
456,Morocco,8,0.0
457,Morocco,9,0.0
458,Morocco,10,0.0
459,Morocco,11,0.0
460,Morocco,12,0.0
461,Morocco,13,0.0
462,Morocco,14,0.0
463,Morocco,15,0.0
464,New Zealand,0,0.01
465,New Zealand,1,0.0
466,New Zealand,2,0.0
467,New Zealand,3,0.0
468,New Zealand,4,0.0
469,New Zealand,5,0.04
470,New Zealand,6,0.0
471,New Zealand,7,0.0
472,New Zealand,8,0.01
473,New Zealand,9,0.05
474,New Zealand,10,0.01
475,New Zealand,11,0.01
476,New Zealand,12,0.01
477,New Zealand,13,0.01
478,New Zealand,14,0.01
479,New Zealand,15,0.0
480,Peru,0,0.0
481,Peru,1,0.0
482,Peru,2,0.0
483,Peru,3,0.0
484,Peru,4,0.0
485,Peru,5,0.0
486,Peru,6,0.0
487,Peru,7,0.0
488,Peru,8,0.0
489,Peru,9,0.0
490,Peru,10,0.0
491,Peru,11,0.0
492,Peru,12,0.0
493,Peru,13,0.0
494,Peru,14,0.0
495,Peru,15,0.0
