,cluster,common_words
0,0,"apple, pear, green, palate, lemon, green apple, flavor, finish, citrus, acidity"
0,1,"pepper, black, black pepper, white pepper, palate, cherry, wine, flavor, blackberry, white"
0,2,"wine, acidity, drink, fruity, fruit, ready, ready drink, crisp, character, ripe"
0,3,"berry, finish, flavor, plum, aroma, herbal, feel, palate, note, fruit"
0,4,"peach, flavor, citrus, white, lemon, finish, wine, fruit, acidity, palate"
0,5,"red berry, red, berry, berry fruit, wine, fruit, acidity, tannin, drink, berry flavor"
0,6,"black, cherry, black cherry, tannin, palate, aroma, alongside, offer, palate offer, spice"
0,7,"wine, fruit, tannin, wood, aging, drink, firm, black, ripe, rich"
0,8,"cabernet, cabernet sauvignon, sauvignon, merlot, blend, franc, cabernet franc, verdot, merlot cabernet, petit verdot"
0,9,"fruit, cherry, wine, flavor, aroma, spice, finish, raspberry, red, pinot"
0,10,"blackberry, flavor, cherry, wine, oak, currant, sweet, tannin, dry, rich"
0,11,"bodied, full bodied, full, medium bodied, medium, wine, bodied wine, flavor, fruit, finish"
