,clusters,total_reviews
0,12,16956
1,7,16604
2,4,12716
3,11,11591
4,2,10498
5,1,9386
6,6,9260
7,3,7900
8,10,5653
9,9,5356
10,0,4506
11,8,3703
12,5,3221
