,clusters,total_reviews
0,1,13942
1,16,12078
2,15,11679
3,20,8401
4,7,8288
5,2,7933
6,8,7111
7,6,6185
8,18,5993
9,9,5318
10,11,5112
11,13,4596
12,19,4052
13,5,3735
14,12,2873
15,4,2860
16,10,2599
17,0,1780
18,17,1761
19,14,1053
20,3,1
