,cluster,common_words
0,0,"peach, apricot, honey, wine, orange, flavor, white, sweet, aroma, acidity"
0,1,"wood, wine, aging, wood aging, fruit, drink, rich, ripe, tannin, acidity"
0,2,"vineyard, wine, fruit, single, flavor, cherry, show, black, estate, spice"
0,3,"lime, lemon, riesling, grapefruit, dry, finish, flavor, lemon lime, palate, acidity"
0,4,"black, cherry, palate, black cherry, tannin, aroma, alongside, offer, palate offer, pepper"
0,5,"blanc, sauvignon blanc, sauvignon, flavor, citrus, wine, lime, crisp, grapefruit, green"
0,6,"tropical, chardonnay, tropical fruit, pineapple, fruit, flavor, buttered, toast, acidity, oak"
0,7,"cherry, fruit, wine, flavor, red, raspberry, pinot, spice, aroma, light"
0,8,"wine, ready, ready drink, drink, fruity, acidity, fruit, soft, crisp, attractive"
0,9,"full bodied, bodied, full, wine, flavor, full bodied wine, bodied wine, fruit, ripe, finish"
0,10,"berry, plum, finish, aroma, flavor, herbal, feel, palate, note, fruit"
0,11,"cabernet, cabernet sauvignon, sauvignon, merlot, blend, franc, cabernet franc, verdot, merlot cabernet, petit verdot"
0,12,"french, french oak, oak, new, aged, month, barrel, fruit, wine, flavor"
0,13,"apple, pear, citrus, palate, white, green, fresh, aroma, finish, lemon"
0,14,"like, taste, wine, smell, flavor, finish, fruit, aroma, cherry, sweet"
0,15,"medium bodied, medium, bodied, bodied wine, wine, flavor, finish, aroma, cherry, fruit"
0,16,"sweet, flavor, cherry, wine, soft, raspberry, fruit, spice, oak, ripe"
0,17,"wine, fruit, tannin, acidity, drink, ripe, structure, firm, rich, age"
0,18,"blackberry, chocolate, flavor, black, tannin, currant, wine, dark, cherry, oak"
