,cluster,common_words
0,0,"apple, pear, green, palate, green apple, flavor, lemon, acidity, citrus, finish"
0,1,"blackberry, fruit, wine, flavor, oak, tannin, cherry, dark, spice, chocolate"
0,2,"wine, flavor, pinot, cherry, acidity, raspberry, light, texture, fruit, bodied"
0,3,"berry, finish, flavor, aroma, plum, herbal, feel, palate, note, fruit"
0,4,"peach, citrus, flavor, white, lemon, finish, palate, fruit, lime, acidity"
0,5,"red, berry, cherry, red cherry, red berry, palate, tannin, fruit, wine, red fruit"
0,6,"black, black cherry, cherry, tannin, palate, aroma, pepper, plum, spice, alongside"
0,7,"wine, fruit, drink, tannin, ripe, acidity, wood, rich, character, aging"
0,8,"cabernet, cabernet sauvignon, sauvignon, merlot, blend, franc, cabernet franc, merlot cabernet, verdot, petit verdot"
