,cluster,common_words
0,0,"like, taste, wine, flavor, smell, sweet, finish, cherry, fruit, blackberry"
0,1,"palate, tannin, alongside, cherry, aroma, black, palate offer, offer, black cherry, berry"
0,2,"wine, fruit, tannin, wood, drink, aging, firm, structure, ripe, acidity"
0,3,"french, french oak, oak, new, aged, month, barrel, wine, fruit, flavor"
0,4,"wine, drink, acidity, ready, fruity, ready drink, fruit, ripe, character, crisp"
0,5,"bodied, full bodied, full, medium bodied, medium, wine, bodied wine, flavor, finish, fruit"
0,6,"berry, berry fruit, berry flavor, red berry, red, flavor, aroma, fruit, finish, wine"
0,7,"petite, petite sirah, sirah, syrah, blend, zinfandel, blackberry, black, wine, flavor"
0,8,"plum, finish, herbal, aroma, flavor, feel, palate, note, berry, fruit"
0,9,"tropical, tropical fruit, blanc, sauvignon blanc, sauvignon, fruit, flavor, wine, acidity, citrus"
0,10,"lemon, white, lime, peach, palate, stone, stone fruit, finish, grapefruit, flavor"
0,11,"peach, pineapple, flavor, apricot, chardonnay, sweet, orange, honey, wine, acidity"
0,12,"black, black cherry, cherry, dark, fruit, flavor, blackberry, wine, tannin, pepper"
0,13,"cherry, wine, flavor, fruit, raspberry, pinot, red, tannin, spice, blackberry"
0,14,"apple, pear, citrus, green, palate, fresh, flavor, finish, green apple, aroma"
0,15,"cabernet, cabernet sauvignon, sauvignon, merlot, blend, franc, cabernet franc, merlot cabernet, verdot, petit verdot"
