,clusters,total_reviews
0,5,25378
1,4,12388
2,6,10356
3,13,9752
4,2,9158
5,9,7334
6,14,6828
7,3,6052
8,7,5436
9,0,5130
10,12,4800
11,11,4739
12,10,4123
13,1,3605
14,8,2271
