,clusters,total_reviews
0,3,24507
1,7,11827
2,11,9699
3,16,7592
4,10,7526
5,1,7245
6,6,7136
7,4,6428
8,17,5635
9,8,5211
10,2,5067
11,12,4496
12,14,3332
13,13,3046
14,15,2795
15,9,2299
16,5,1990
17,0,1519
