,cluster,common_words
0,0,"apple, lemon, pear, peach, palate, white, flavor, lime, finish, citrus"
0,1,"cherry, pinot, raspberry, oak, flavor, noir, pinot noir, wine, red, cola"
0,2,"blackberry, wine, flavor, fruit, tannin, black, dark, chocolate, spice, cherry"
0,3,"wine, fruit, flavor, light, finish, acidity, aroma, palate, citrus, fresh"
0,4,"berry, finish, flavor, aroma, plum, herbal, feel, palate, note, fruit"
0,5,"wine, fruit, drink, acidity, ripe, tannin, character, rich, wood, fruity"
0,6,"black, cherry, cabernet, tannin, palate, black cherry, aroma, cabernet sauvignon, sauvignon, merlot"
