,country,clusters,total
0,Argentina,0,0.02
1,Argentina,1,0.05
2,Argentina,2,0.0
3,Armenia,0,0.0
4,Armenia,1,0.0
5,Armenia,2,0.0
6,Australia,0,0.02
7,Australia,1,0.02
8,Australia,2,0.01
9,Austria,0,0.05
10,Austria,1,0.01
11,Austria,2,0.03
12,Bosnia and Herzegovina,0,0.0
13,Bosnia and Herzegovina,1,0.0
14,Bosnia and Herzegovina,2,0.0
15,Brazil,0,0.0
16,Brazil,1,0.0
17,Brazil,2,0.0
18,Bulgaria,0,0.0
19,Bulgaria,1,0.0
20,Bulgaria,2,0.0
21,Canada,0,0.0
22,Canada,1,0.0
23,Canada,2,0.0
24,Chile,0,0.03
25,Chile,1,0.05
26,Chile,2,0.0
27,China,0,0.0
28,China,1,0.0
29,China,2,0.0
30,Croatia,0,0.0
31,Croatia,1,0.0
32,Croatia,2,0.0
33,Cyprus,0,0.0
34,Cyprus,1,0.0
35,Cyprus,2,0.0
36,Czech Republic,0,0.0
37,Czech Republic,1,0.0
38,Czech Republic,2,0.0
39,Egypt,0,0.0
40,Egypt,1,0.0
41,Egypt,2,0.0
42,England,0,0.0
43,England,1,0.0
44,England,2,0.0
45,France,0,0.1
46,France,1,0.02
47,France,2,0.46
48,Georgia,0,0.0
49,Georgia,1,0.0
50,Georgia,2,0.0
51,Germany,0,0.06
52,Germany,1,0.0
53,Germany,2,0.0
54,Greece,0,0.01
55,Greece,1,0.0
56,Greece,2,0.0
57,Hungary,0,0.0
58,Hungary,1,0.0
59,Hungary,2,0.0
60,India,0,0.0
61,India,1,0.0
62,India,2,0.0
63,Israel,0,0.0
64,Israel,1,0.01
65,Israel,2,0.0
66,Italy,0,0.15
67,Italy,1,0.22
68,Italy,2,0.03
69,Lebanon,0,0.0
70,Lebanon,1,0.0
71,Lebanon,2,0.0
72,Luxembourg,0,0.0
73,Luxembourg,1,0.0
74,Luxembourg,2,0.0
75,Macedonia,0,0.0
76,Macedonia,1,0.0
77,Macedonia,2,0.0
78,Mexico,0,0.0
79,Mexico,1,0.0
80,Mexico,2,0.0
81,Moldova,0,0.0
82,Moldova,1,0.0
83,Moldova,2,0.0
84,Morocco,0,0.0
85,Morocco,1,0.0
86,Morocco,2,0.0
87,New Zealand,0,0.02
88,New Zealand,1,0.01
89,New Zealand,2,0.0
90,Peru,0,0.0
91,Peru,1,0.0
92,Peru,2,0.0
93,Portugal,0,0.02
94,Portugal,1,0.0
95,Portugal,2,0.14
96,Romania,0,0.0
97,Romania,1,0.0
98,Romania,2,0.0
99,Serbia,0,0.0
100,Serbia,1,0.0
101,Serbia,2,0.0
102,Slovakia,0,0.0
103,Slovakia,1,0.0
104,Slovakia,2,0.0
105,Slovenia,0,0.0
106,Slovenia,1,0.0
107,Slovenia,2,0.0
108,South Africa,0,0.02
109,South Africa,1,0.01
110,South Africa,2,0.0
111,Spain,0,0.05
112,Spain,1,0.08
113,Spain,2,0.0
114,Switzerland,0,0.0
115,Switzerland,1,0.0
116,Switzerland,2,0.0
117,Turkey,0,0.0
118,Turkey,1,0.0
119,Turkey,2,0.0
120,US,0,0.44
121,US,1,0.5
122,US,2,0.32
123,Ukraine,0,0.0
124,Ukraine,1,0.0
125,Ukraine,2,0.0
126,Uruguay,0,0.0
127,Uruguay,1,0.0
128,Uruguay,2,0.0
