,clusters,total_reviews
0,15,14873
1,13,13394
2,16,9300
3,0,7570
4,19,7522
5,9,7474
6,5,6122
7,8,5327
8,14,5210
9,6,5020
10,2,4880
11,7,4843
12,17,4325
13,1,4274
14,11,4216
15,4,2781
16,10,2710
17,3,2356
18,12,2289
19,21,1709
20,18,1154
21,20,1
