,country,clusters,total
0,Argentina,0,0.0
1,Argentina,1,0.0
2,Argentina,2,0.0
3,Argentina,3,0.24
4,Argentina,4,0.0
5,Argentina,5,0.02
6,Argentina,6,0.01
7,Argentina,7,0.0
8,Argentina,8,0.01
9,Argentina,9,0.02
10,Argentina,10,0.02
11,Argentina,11,0.07
12,Argentina,12,0.01
13,Argentina,13,0.01
14,Argentina,14,0.0
15,Argentina,15,0.01
16,Argentina,16,0.04
17,Argentina,17,0.01
18,Argentina,18,0.01
19,Argentina,19,0.01
20,Argentina,20,0.08
21,Argentina,21,0.06
22,Argentina,22,0.0
23,Armenia,0,0.0
24,Armenia,1,0.0
25,Armenia,2,0.0
26,Armenia,3,0.0
27,Armenia,4,0.0
28,Armenia,5,0.0
29,Armenia,6,0.0
30,Armenia,7,0.0
31,Armenia,8,0.0
32,Armenia,9,0.0
33,Armenia,10,0.0
34,Armenia,11,0.0
35,Armenia,12,0.0
36,Armenia,13,0.0
37,Armenia,14,0.0
38,Armenia,15,0.0
39,Armenia,16,0.0
40,Armenia,17,0.0
41,Armenia,18,0.0
42,Armenia,19,0.0
43,Armenia,20,0.0
44,Armenia,21,0.0
45,Armenia,22,0.0
46,Australia,0,0.0
47,Australia,1,0.0
48,Australia,2,0.0
49,Australia,3,0.0
50,Australia,4,0.0
51,Australia,5,0.01
52,Australia,6,0.05
53,Australia,7,0.01
54,Australia,8,0.02
55,Australia,9,0.01
56,Australia,10,0.02
57,Australia,11,0.02
58,Australia,12,0.02
59,Australia,13,0.02
60,Australia,14,0.01
61,Australia,15,0.01
62,Australia,16,0.02
63,Australia,17,0.05
64,Australia,18,0.02
65,Australia,19,0.03
66,Australia,20,0.03
67,Australia,21,0.02
68,Australia,22,0.0
69,Austria,0,0.03
70,Austria,1,0.0
71,Austria,2,0.06
72,Austria,3,0.0
73,Austria,4,0.01
74,Austria,5,0.0
75,Austria,6,0.03
76,Austria,7,0.0
77,Austria,8,0.02
78,Austria,9,0.0
79,Austria,10,0.11
80,Austria,11,0.01
81,Austria,12,0.02
82,Austria,13,0.01
83,Austria,14,0.03
84,Austria,15,0.05
85,Austria,16,0.01
86,Austria,17,0.03
87,Austria,18,0.03
88,Austria,19,0.01
89,Austria,20,0.01
90,Austria,21,0.06
91,Austria,22,0.01
92,Bosnia and Herzegovina,0,0.0
93,Bosnia and Herzegovina,1,0.0
94,Bosnia and Herzegovina,2,0.0
95,Bosnia and Herzegovina,3,0.0
96,Bosnia and Herzegovina,4,0.0
97,Bosnia and Herzegovina,5,0.0
98,Bosnia and Herzegovina,6,0.0
99,Bosnia and Herzegovina,7,0.0
100,Bosnia and Herzegovina,8,0.0
101,Bosnia and Herzegovina,9,0.0
102,Bosnia and Herzegovina,10,0.0
103,Bosnia and Herzegovina,11,0.0
104,Bosnia and Herzegovina,12,0.0
105,Bosnia and Herzegovina,13,0.0
106,Bosnia and Herzegovina,14,0.0
107,Bosnia and Herzegovina,15,0.0
108,Bosnia and Herzegovina,16,0.0
109,Bosnia and Herzegovina,17,0.0
110,Bosnia and Herzegovina,18,0.0
111,Bosnia and Herzegovina,19,0.0
112,Bosnia and Herzegovina,20,0.0
113,Bosnia and Herzegovina,21,0.0
114,Bosnia and Herzegovina,22,0.0
115,Brazil,0,0.0
116,Brazil,1,0.0
117,Brazil,2,0.0
118,Brazil,3,0.0
119,Brazil,4,0.0
120,Brazil,5,0.0
121,Brazil,6,0.0
122,Brazil,7,0.0
123,Brazil,8,0.0
124,Brazil,9,0.0
125,Brazil,10,0.0
126,Brazil,11,0.0
127,Brazil,12,0.0
128,Brazil,13,0.0
129,Brazil,14,0.0
130,Brazil,15,0.0
131,Brazil,16,0.0
132,Brazil,17,0.0
133,Brazil,18,0.0
134,Brazil,19,0.0
135,Brazil,20,0.0
136,Brazil,21,0.0
137,Brazil,22,0.0
138,Bulgaria,0,0.0
139,Bulgaria,1,0.0
140,Bulgaria,2,0.0
141,Bulgaria,3,0.0
142,Bulgaria,4,0.0
143,Bulgaria,5,0.0
144,Bulgaria,6,0.0
145,Bulgaria,7,0.0
146,Bulgaria,8,0.0
147,Bulgaria,9,0.0
148,Bulgaria,10,0.0
149,Bulgaria,11,0.0
150,Bulgaria,12,0.0
151,Bulgaria,13,0.0
152,Bulgaria,14,0.0
153,Bulgaria,15,0.0
154,Bulgaria,16,0.0
155,Bulgaria,17,0.0
156,Bulgaria,18,0.0
157,Bulgaria,19,0.0
158,Bulgaria,20,0.0
159,Bulgaria,21,0.0
160,Bulgaria,22,0.0
161,Canada,0,0.0
162,Canada,1,0.0
163,Canada,2,0.0
164,Canada,3,0.0
165,Canada,4,0.0
166,Canada,5,0.0
167,Canada,6,0.0
168,Canada,7,0.0
169,Canada,8,0.0
170,Canada,9,0.0
171,Canada,10,0.0
172,Canada,11,0.0
173,Canada,12,0.0
174,Canada,13,0.01
175,Canada,14,0.0
176,Canada,15,0.0
177,Canada,16,0.0
178,Canada,17,0.0
179,Canada,18,0.0
180,Canada,19,0.0
181,Canada,20,0.0
182,Canada,21,0.0
183,Canada,22,0.0
184,Chile,0,0.0
185,Chile,1,0.0
186,Chile,2,0.0
187,Chile,3,0.28
188,Chile,4,0.0
189,Chile,5,0.01
190,Chile,6,0.01
191,Chile,7,0.0
192,Chile,8,0.02
193,Chile,9,0.03
194,Chile,10,0.05
195,Chile,11,0.05
196,Chile,12,0.01
197,Chile,13,0.02
198,Chile,14,0.0
199,Chile,15,0.02
200,Chile,16,0.03
201,Chile,17,0.0
202,Chile,18,0.04
203,Chile,19,0.02
204,Chile,20,0.09
205,Chile,21,0.06
206,Chile,22,0.01
207,China,0,0.0
208,China,1,0.0
209,China,2,0.0
210,China,3,0.0
211,China,4,0.0
212,China,5,0.0
213,China,6,0.0
214,China,7,0.0
215,China,8,0.0
216,China,9,0.0
217,China,10,0.0
218,China,11,0.0
219,China,12,0.0
220,China,13,0.0
221,China,14,0.0
222,China,15,0.0
223,China,16,0.0
224,China,17,0.0
225,China,18,0.0
226,China,19,0.0
227,China,20,0.0
228,China,21,0.0
229,China,22,0.0
230,Croatia,0,0.0
231,Croatia,1,0.0
232,Croatia,2,0.0
233,Croatia,3,0.0
234,Croatia,4,0.0
235,Croatia,5,0.0
236,Croatia,6,0.0
237,Croatia,7,0.0
238,Croatia,8,0.0
239,Croatia,9,0.0
240,Croatia,10,0.0
241,Croatia,11,0.0
242,Croatia,12,0.0
243,Croatia,13,0.0
244,Croatia,14,0.0
245,Croatia,15,0.0
246,Croatia,16,0.0
247,Croatia,17,0.0
248,Croatia,18,0.0
249,Croatia,19,0.0
250,Croatia,20,0.0
251,Croatia,21,0.0
252,Croatia,22,0.0
253,Cyprus,0,0.0
254,Cyprus,1,0.0
255,Cyprus,2,0.0
256,Cyprus,3,0.0
257,Cyprus,4,0.0
258,Cyprus,5,0.0
259,Cyprus,6,0.0
260,Cyprus,7,0.0
261,Cyprus,8,0.0
262,Cyprus,9,0.0
263,Cyprus,10,0.0
264,Cyprus,11,0.0
265,Cyprus,12,0.0
266,Cyprus,13,0.0
267,Cyprus,14,0.0
268,Cyprus,15,0.0
269,Cyprus,16,0.0
270,Cyprus,17,0.0
271,Cyprus,18,0.0
272,Cyprus,19,0.0
273,Cyprus,20,0.0
274,Cyprus,21,0.0
275,Cyprus,22,0.0
276,Czech Republic,0,0.0
277,Czech Republic,1,0.0
278,Czech Republic,2,0.0
279,Czech Republic,3,0.0
280,Czech Republic,4,0.0
281,Czech Republic,5,0.0
282,Czech Republic,6,0.0
283,Czech Republic,7,0.0
284,Czech Republic,8,0.0
285,Czech Republic,9,0.0
286,Czech Republic,10,0.0
287,Czech Republic,11,0.0
288,Czech Republic,12,0.0
289,Czech Republic,13,0.0
290,Czech Republic,14,0.0
291,Czech Republic,15,0.0
292,Czech Republic,16,0.0
293,Czech Republic,17,0.0
