,clusters,total_reviews
0,2,14537
1,1,14462
2,8,7720
3,20,7645
4,3,6660
5,21,6607
6,13,6094
7,19,6070
8,0,5133
9,7,4935
10,6,4887
11,17,4714
12,9,3476
13,22,3248
14,4,3201
15,18,3194
16,16,3089
17,23,2882
18,12,2770
19,11,2201
20,15,1760
21,10,1037
22,5,1027
23,14,1
