,country,clusters,total
0,Argentina,0,0.01
1,Argentina,1,0.03
2,Argentina,2,0.02
3,Argentina,3,0.01
4,Argentina,4,0.0
5,Argentina,5,0.22
6,Argentina,6,0.0
7,Argentina,7,0.02
8,Argentina,8,0.01
9,Argentina,9,0.0
10,Armenia,0,0.0
11,Armenia,1,0.0
12,Armenia,2,0.0
13,Armenia,3,0.0
14,Armenia,4,0.0
15,Armenia,5,0.0
16,Armenia,6,0.0
17,Armenia,7,0.0
18,Armenia,8,0.0
19,Armenia,9,0.0
20,Australia,0,0.01
21,Australia,1,0.02
22,Australia,2,0.02
23,Australia,3,0.07
24,Australia,4,0.0
25,Australia,5,0.01
26,Australia,6,0.0
27,Australia,7,0.01
28,Australia,8,0.02
29,Australia,9,0.0
30,Austria,0,0.03
31,Austria,1,0.09
32,Austria,2,0.02
33,Austria,3,0.01
34,Austria,4,0.03
35,Austria,5,0.0
36,Austria,6,0.06
37,Austria,7,0.0
38,Austria,8,0.01
39,Austria,9,0.0
40,Bosnia and Herzegovina,0,0.0
41,Bosnia and Herzegovina,1,0.0
42,Bosnia and Herzegovina,2,0.0
43,Bosnia and Herzegovina,3,0.0
44,Bosnia and Herzegovina,4,0.0
45,Bosnia and Herzegovina,5,0.0
46,Bosnia and Herzegovina,6,0.0
47,Bosnia and Herzegovina,7,0.0
48,Bosnia and Herzegovina,8,0.0
49,Bosnia and Herzegovina,9,0.0
50,Brazil,0,0.0
51,Brazil,1,0.0
52,Brazil,2,0.0
53,Brazil,3,0.0
54,Brazil,4,0.0
55,Brazil,5,0.0
56,Brazil,6,0.0
57,Brazil,7,0.0
58,Brazil,8,0.0
59,Brazil,9,0.0
60,Bulgaria,0,0.0
61,Bulgaria,1,0.0
62,Bulgaria,2,0.0
63,Bulgaria,3,0.0
64,Bulgaria,4,0.0
65,Bulgaria,5,0.0
66,Bulgaria,6,0.0
67,Bulgaria,7,0.0
68,Bulgaria,8,0.0
69,Bulgaria,9,0.0
70,Canada,0,0.0
71,Canada,1,0.0
72,Canada,2,0.0
73,Canada,3,0.0
74,Canada,4,0.0
75,Canada,5,0.0
76,Canada,6,0.0
77,Canada,7,0.0
78,Canada,8,0.0
79,Canada,9,0.0
80,Chile,0,0.02
81,Chile,1,0.05
82,Chile,2,0.03
83,Chile,3,0.01
84,Chile,4,0.0
85,Chile,5,0.22
86,Chile,6,0.0
87,Chile,7,0.03
88,Chile,8,0.01
89,Chile,9,0.0
90,China,0,0.0
91,China,1,0.0
92,China,2,0.0
93,China,3,0.0
94,China,4,0.0
95,China,5,0.0
96,China,6,0.0
97,China,7,0.0
98,China,8,0.0
99,China,9,0.0
100,Croatia,0,0.0
101,Croatia,1,0.0
102,Croatia,2,0.0
103,Croatia,3,0.0
104,Croatia,4,0.0
105,Croatia,5,0.0
106,Croatia,6,0.0
107,Croatia,7,0.0
108,Croatia,8,0.0
109,Croatia,9,0.0
110,Cyprus,0,0.0
111,Cyprus,1,0.0
112,Cyprus,2,0.0
113,Cyprus,3,0.0
114,Cyprus,4,0.0
115,Cyprus,5,0.0
116,Cyprus,6,0.0
117,Cyprus,7,0.0
118,Cyprus,8,0.0
119,Cyprus,9,0.0
120,Czech Republic,0,0.0
121,Czech Republic,1,0.0
122,Czech Republic,2,0.0
123,Czech Republic,3,0.0
124,Czech Republic,4,0.0
125,Czech Republic,5,0.0
126,Czech Republic,6,0.0
127,Czech Republic,7,0.0
128,Czech Republic,8,0.0
129,Czech Republic,9,0.0
130,Egypt,0,0.0
131,Egypt,1,0.0
132,Egypt,2,0.0
133,Egypt,3,0.0
134,Egypt,4,0.0
135,Egypt,5,0.0
136,Egypt,6,0.0
137,Egypt,7,0.0
138,Egypt,8,0.0
139,Egypt,9,0.0
140,England,0,0.0
141,England,1,0.0
142,England,2,0.0
143,England,3,0.0
144,England,4,0.0
145,England,5,0.0
146,England,6,0.0
147,England,7,0.0
148,England,8,0.0
149,England,9,0.0
150,France,0,0.04
151,France,1,0.1
152,France,2,0.07
153,France,3,0.12
154,France,4,0.67
155,France,5,0.02
156,France,6,0.65
157,France,7,0.06
158,France,8,0.03
159,France,9,0.0
160,Georgia,0,0.0
161,Georgia,1,0.0
162,Georgia,2,0.0
163,Georgia,3,0.0
164,Georgia,4,0.0
165,Georgia,5,0.0
166,Georgia,6,0.0
167,Georgia,7,0.0
168,Georgia,8,0.0
169,Georgia,9,0.0
170,Germany,0,0.04
171,Germany,1,0.08
172,Germany,2,0.04
173,Germany,3,0.01
174,Germany,4,0.0
175,Germany,5,0.0
176,Germany,6,0.0
177,Germany,7,0.0
178,Germany,8,0.0
179,Germany,9,0.0
180,Greece,0,0.02
181,Greece,1,0.0
182,Greece,2,0.0
183,Greece,3,0.0
