,country,clusters,total
0,Argentina,0,0.0
1,Argentina,1,0.04
2,Argentina,2,0.24
3,Argentina,3,0.0
4,Argentina,4,0.0
5,Argentina,5,0.01
6,Argentina,6,0.02
7,Argentina,7,0.02
8,Argentina,8,0.01
9,Argentina,9,0.01
10,Argentina,10,0.01
11,Argentina,11,0.01
12,Argentina,12,0.01
13,Argentina,13,0.02
14,Argentina,14,0.03
15,Armenia,0,0.0
16,Armenia,1,0.0
17,Armenia,2,0.0
18,Armenia,3,0.0
19,Armenia,4,0.0
20,Armenia,5,0.0
21,Armenia,6,0.0
22,Armenia,7,0.0
23,Armenia,8,0.0
24,Armenia,9,0.0
25,Armenia,10,0.0
26,Armenia,11,0.0
27,Armenia,12,0.0
28,Armenia,13,0.0
29,Armenia,14,0.0
30,Australia,0,0.0
31,Australia,1,0.02
32,Australia,2,0.01
33,Australia,3,0.0
34,Australia,4,0.0
35,Australia,5,0.02
36,Australia,6,0.02
37,Australia,7,0.01
38,Australia,8,0.02
39,Australia,9,0.08
40,Australia,10,0.01
41,Australia,11,0.02
42,Australia,12,0.02
43,Australia,13,0.01
44,Australia,14,0.01
45,Austria,0,0.02
46,Austria,1,0.02
47,Austria,2,0.0
48,Austria,3,0.0
49,Austria,4,0.03
50,Austria,5,0.01
51,Austria,6,0.12
52,Austria,7,0.0
53,Austria,8,0.03
54,Austria,9,0.01
55,Austria,10,0.02
56,Austria,11,0.01
57,Austria,12,0.02
58,Austria,13,0.01
59,Austria,14,0.05
60,Bosnia and Herzegovina,0,0.0
61,Bosnia and Herzegovina,1,0.0
62,Bosnia and Herzegovina,2,0.0
63,Bosnia and Herzegovina,3,0.0
64,Bosnia and Herzegovina,4,0.0
65,Bosnia and Herzegovina,5,0.0
66,Bosnia and Herzegovina,6,0.0
67,Bosnia and Herzegovina,7,0.0
68,Bosnia and Herzegovina,8,0.0
69,Bosnia and Herzegovina,9,0.0
70,Bosnia and Herzegovina,10,0.0
71,Bosnia and Herzegovina,11,0.0
72,Bosnia and Herzegovina,12,0.0
73,Bosnia and Herzegovina,13,0.0
74,Bosnia and Herzegovina,14,0.0
75,Brazil,0,0.0
76,Brazil,1,0.0
77,Brazil,2,0.0
78,Brazil,3,0.0
79,Brazil,4,0.0
80,Brazil,5,0.0
81,Brazil,6,0.0
82,Brazil,7,0.0
83,Brazil,8,0.0
84,Brazil,9,0.0
85,Brazil,10,0.0
86,Brazil,11,0.0
87,Brazil,12,0.0
88,Brazil,13,0.0
89,Brazil,14,0.0
90,Bulgaria,0,0.0
91,Bulgaria,1,0.0
92,Bulgaria,2,0.0
93,Bulgaria,3,0.0
94,Bulgaria,4,0.0
95,Bulgaria,5,0.0
96,Bulgaria,6,0.0
97,Bulgaria,7,0.0
98,Bulgaria,8,0.0
99,Bulgaria,9,0.0
100,Bulgaria,10,0.0
101,Bulgaria,11,0.0
102,Bulgaria,12,0.0
103,Bulgaria,13,0.0
104,Bulgaria,14,0.0
105,Canada,0,0.0
106,Canada,1,0.0
107,Canada,2,0.0
108,Canada,3,0.0
109,Canada,4,0.0
110,Canada,5,0.0
111,Canada,6,0.0
112,Canada,7,0.0
113,Canada,8,0.0
114,Canada,9,0.0
115,Canada,10,0.0
116,Canada,11,0.0
117,Canada,12,0.01
118,Canada,13,0.0
119,Canada,14,0.0
120,Chile,0,0.0
121,Chile,1,0.06
122,Chile,2,0.25
123,Chile,3,0.0
124,Chile,4,0.0
125,Chile,5,0.01
126,Chile,6,0.04
127,Chile,7,0.03
128,Chile,8,0.01
129,Chile,9,0.01
130,Chile,10,0.01
131,Chile,11,0.02
132,Chile,12,0.02
133,Chile,13,0.02
134,Chile,14,0.04
135,China,0,0.0
136,China,1,0.0
137,China,2,0.0
138,China,3,0.0
139,China,4,0.0
140,China,5,0.0
141,China,6,0.0
142,China,7,0.0
143,China,8,0.0
144,China,9,0.0
145,China,10,0.0
146,China,11,0.0
147,China,12,0.0
148,China,13,0.0
149,China,14,0.0
150,Croatia,0,0.0
151,Croatia,1,0.0
152,Croatia,2,0.0
153,Croatia,3,0.0
154,Croatia,4,0.0
155,Croatia,5,0.0
156,Croatia,6,0.0
157,Croatia,7,0.0
158,Croatia,8,0.0
159,Croatia,9,0.0
160,Croatia,10,0.0
161,Croatia,11,0.0
162,Croatia,12,0.0
163,Croatia,13,0.0
164,Croatia,14,0.0
165,Cyprus,0,0.0
166,Cyprus,1,0.0
167,Cyprus,2,0.0
168,Cyprus,3,0.0
169,Cyprus,4,0.0
170,Cyprus,5,0.0
171,Cyprus,6,0.0
172,Cyprus,7,0.0
173,Cyprus,8,0.0
174,Cyprus,9,0.0
175,Cyprus,10,0.0
176,Cyprus,11,0.0
177,Cyprus,12,0.0
178,Cyprus,13,0.0
