,country,clusters,total
0,Argentina,0,0.21
1,Argentina,1,0.02
2,Argentina,2,0.01
3,Argentina,3,0.01
4,Argentina,4,0.02
5,Argentina,5,0.02
6,Argentina,6,0.0
7,Argentina,7,0.01
8,Armenia,0,0.0
9,Armenia,1,0.0
10,Armenia,2,0.0
11,Armenia,3,0.0
12,Armenia,4,0.0
13,Armenia,5,0.0
14,Armenia,6,0.0
15,Armenia,7,0.0
16,Australia,0,0.01
17,Australia,1,0.01
18,Australia,2,0.01
19,Australia,3,0.07
20,Australia,4,0.02
21,Australia,5,0.01
22,Australia,6,0.0
23,Australia,7,0.02
24,Austria,0,0.0
25,Austria,1,0.05
26,Austria,2,0.01
27,Austria,3,0.01
28,Austria,4,0.05
29,Austria,5,0.0
30,Austria,6,0.04
31,Austria,7,0.01
32,Bosnia and Herzegovina,0,0.0
33,Bosnia and Herzegovina,1,0.0
34,Bosnia and Herzegovina,2,0.0
35,Bosnia and Herzegovina,3,0.0
36,Bosnia and Herzegovina,4,0.0
37,Bosnia and Herzegovina,5,0.0
38,Bosnia and Herzegovina,6,0.0
39,Bosnia and Herzegovina,7,0.0
40,Brazil,0,0.0
41,Brazil,1,0.0
42,Brazil,2,0.0
43,Brazil,3,0.0
44,Brazil,4,0.0
45,Brazil,5,0.0
46,Brazil,6,0.0
47,Brazil,7,0.0
48,Bulgaria,0,0.0
49,Bulgaria,1,0.0
50,Bulgaria,2,0.0
51,Bulgaria,3,0.0
52,Bulgaria,4,0.0
53,Bulgaria,5,0.0
54,Bulgaria,6,0.0
55,Bulgaria,7,0.0
56,Canada,0,0.0
57,Canada,1,0.0
58,Canada,2,0.0
59,Canada,3,0.0
60,Canada,4,0.0
61,Canada,5,0.0
62,Canada,6,0.0
63,Canada,7,0.0
64,Chile,0,0.23
65,Chile,1,0.04
66,Chile,2,0.01
67,Chile,3,0.01
68,Chile,4,0.03
69,Chile,5,0.03
70,Chile,6,0.0
71,Chile,7,0.01
72,China,0,0.0
73,China,1,0.0
74,China,2,0.0
75,China,3,0.0
76,China,4,0.0
77,China,5,0.0
78,China,6,0.0
79,China,7,0.0
80,Croatia,0,0.0
81,Croatia,1,0.0
82,Croatia,2,0.0
83,Croatia,3,0.0
84,Croatia,4,0.0
85,Croatia,5,0.0
86,Croatia,6,0.0
87,Croatia,7,0.0
88,Cyprus,0,0.0
89,Cyprus,1,0.0
90,Cyprus,2,0.0
91,Cyprus,3,0.0
92,Cyprus,4,0.0
93,Cyprus,5,0.0
94,Cyprus,6,0.0
95,Cyprus,7,0.0
96,Czech Republic,0,0.0
97,Czech Republic,1,0.0
98,Czech Republic,2,0.0
99,Czech Republic,3,0.0
100,Czech Republic,4,0.0
101,Czech Republic,5,0.0
102,Czech Republic,6,0.0
103,Czech Republic,7,0.0
104,Egypt,0,0.0
105,Egypt,1,0.0
106,Egypt,2,0.0
107,Egypt,3,0.0
108,Egypt,4,0.0
109,Egypt,5,0.0
110,Egypt,6,0.0
111,Egypt,7,0.0
112,England,0,0.0
113,England,1,0.0
114,England,2,0.0
115,England,3,0.0
116,England,4,0.0
117,England,5,0.0
118,England,6,0.0
119,England,7,0.0
120,France,0,0.02
121,France,1,0.11
122,France,2,0.02
123,France,3,0.12
124,France,4,0.08
125,France,5,0.07
126,France,6,0.7
127,France,7,0.11
128,Georgia,0,0.0
129,Georgia,1,0.0
130,Georgia,2,0.0
131,Georgia,3,0.0
132,Georgia,4,0.0
133,Georgia,5,0.0
134,Georgia,6,0.0
135,Georgia,7,0.0
136,Germany,0,0.0
137,Germany,1,0.04
138,Germany,2,0.0
139,Germany,3,0.01
140,Germany,4,0.06
141,Germany,5,0.0
142,Germany,6,0.0
143,Germany,7,0.0
144,Greece,0,0.0
145,Greece,1,0.0
146,Greece,2,0.01
147,Greece,3,0.0
148,Greece,4,0.01
149,Greece,5,0.0
150,Greece,6,0.0
151,Greece,7,0.0
152,Hungary,0,0.0
153,Hungary,1,0.0
154,Hungary,2,0.0
155,Hungary,3,0.0
156,Hungary,4,0.0
157,Hungary,5,0.0
158,Hungary,6,0.0
159,Hungary,7,0.0
160,India,0,0.0
161,India,1,0.0
162,India,2,0.0
163,India,3,0.0
164,India,4,0.0
165,India,5,0.0
166,India,6,0.0
167,India,7,0.0
168,Israel,0,0.0
169,Israel,1,0.0
170,Israel,2,0.01
171,Israel,3,0.0
172,Israel,4,0.0
173,Israel,5,0.01
174,Israel,6,0.0
175,Israel,7,0.0
176,Italy,0,0.04
177,Italy,1,0.17
178,Italy,2,0.51
179,Italy,3,0.02
180,Italy,4,0.16
181,Italy,5,0.15
182,Italy,6,0.01
183,Italy,7,0.1
184,Lebanon,0,0.0
185,Lebanon,1,0.0
186,Lebanon,2,0.0
187,Lebanon,3,0.0
188,Lebanon,4,0.0
189,Lebanon,5,0.0
190,Lebanon,6,0.0
191,Lebanon,7,0.0
192,Luxembourg,0,0.0
193,Luxembourg,1,0.0
194,Luxembourg,2,0.0
195,Luxembourg,3,0.0
196,Luxembourg,4,0.0
197,Luxembourg,5,0.0
198,Luxembourg,6,0.0
199,Luxembourg,7,0.0
200,Macedonia,0,0.0
201,Macedonia,1,0.0
202,Macedonia,2,0.0
203,Macedonia,3,0.0
204,Macedonia,4,0.0
205,Macedonia,5,0.0
206,Macedonia,6,0.0
207,Macedonia,7,0.0
208,Mexico,0,0.0
209,Mexico,1,0.0
210,Mexico,2,0.0
211,Mexico,3,0.0
212,Mexico,4,0.0
213,Mexico,5,0.0
214,Mexico,6,0.0
215,Mexico,7,0.0
216,Moldova,0,0.0
217,Moldova,1,0.0
218,Moldova,2,0.0
219,Moldova,3,0.0
220,Moldova,4,0.0
221,Moldova,5,0.0
222,Moldova,6,0.0
223,Moldova,7,0.0
224,Morocco,0,0.0
225,Morocco,1,0.0
226,Morocco,2,0.0
227,Morocco,3,0.0
228,Morocco,4,0.0
229,Morocco,5,0.0
230,Morocco,6,0.0
231,Morocco,7,0.0
232,New Zealand,0,0.0
233,New Zealand,1,0.0
234,New Zealand,2,0.0
235,New Zealand,3,0.04
