,country,province,region_1,variety,price
83,Argentina,Mendoza Province,Mendoza,Pinot Noir,33
84,Argentina,Mendoza Province,Mendoza,Red Blend,140
85,Argentina,Mendoza Province,Mendoza,Rosé,26
86,Argentina,Mendoza Province,Mendoza,Sangiovese,2
87,Argentina,Mendoza Province,Mendoza,Sauvignon Blanc,31
88,Argentina,Mendoza Province,Mendoza,Shiraz,6
89,Argentina,Mendoza Province,Mendoza,Shiraz-Malbec,1
90,Argentina,Mendoza Province,Mendoza,Sparkling Blend,15
91,Argentina,Mendoza Province,Mendoza,Syrah,39
92,Argentina,Mendoza Province,Mendoza,Syrah-Bonarda,1
93,Argentina,Mendoza Province,Mendoza,Syrah-Viognier,3
94,Argentina,Mendoza Province,Mendoza,Sémillon,12
95,Argentina,Mendoza Province,Mendoza,Tempranillo,13
96,Argentina,Mendoza Province,Mendoza,Tocai,1
97,Argentina,Mendoza Province,Mendoza,Torrontés,95
98,Argentina,Mendoza Province,Mendoza,Trebbiano,1
99,Argentina,Mendoza Province,Mendoza,Viognier,6
100,Argentina,Mendoza Province,Mendoza,White Blend,14
101,Argentina,Mendoza Province,Perdriel,Cabernet Sauvignon,5
102,Argentina,Mendoza Province,Perdriel,Chardonnay,5
103,Argentina,Mendoza Province,Perdriel,Malbec,17
104,Argentina,Mendoza Province,San Carlos,Cabernet Sauvignon,1
105,Argentina,Mendoza Province,San Carlos,Malbec,3
106,Argentina,Mendoza Province,San Rafael,Chardonnay,2
107,Argentina,Mendoza Province,Tupungato,Bordeaux-style Red Blend,7
108,Argentina,Mendoza Province,Tupungato,Cabernet Franc,11
109,Argentina,Mendoza Province,Tupungato,Cabernet Sauvignon,34
110,Argentina,Mendoza Province,Tupungato,Cabernet Sauvignon-Malbec,1
111,Argentina,Mendoza Province,Tupungato,Champagne Blend,1
112,Argentina,Mendoza Province,Tupungato,Chardonnay,25
113,Argentina,Mendoza Province,Tupungato,Chenin Blanc,1
114,Argentina,Mendoza Province,Tupungato,Malbec,61
115,Argentina,Mendoza Province,Tupungato,Malbec-Cabernet Sauvignon,2
116,Argentina,Mendoza Province,Tupungato,Merlot,10
